,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,X_COORD,Y_COORD
50,이마트 신제주점,제주,구좌읍,4,36.0,0.4,1.24,126.4803425,33.48515488
51,만장굴,제주,구좌읍,1,71.16279069767442,0.1395348837209302,2.232558139534884,126.7693513,33.52793252
52,제주곶자왈도립공원,서귀포,대정읍,1,86.89655172413794,0.1724137931034483,1.6551724137931034,126.2736585,33.28318696
53,생각하는정원,제주,한경면,3,37.5,0.0,3.25,126.2549974,33.32549871
54,한담몰,제주,애월읍,4,37.5,0.125,1.0,126.3116706,33.46235224
55,서귀포치유의숲,서귀포,호근동,2,118.57142857142856,0.1428571428571428,1.4761904761904765,126.5279042,33.29193935
56,산방산탄산온천,서귀포,안덕면,6,126.66666666666669,0.3492063492063492,1.1111111111111112,126.2987822,33.24902672
57,솟솟리버스,제주,삼도이동,4,37.5,0.0,0.25,126.5233058,33.51696264
58,이중섭거리,서귀포,서귀동,2,49.2,0.42,0.9,129.0530081,35.14087692
59,레몬뮤지엄,서귀포,남원읍,3,25.0,0.0,2.1666666666666665,126.6178518,33.29885828
60,액티브파크,제주,한림읍,5,97.5,0.0,3.75,126.2360832,33.38113118
61,제주아트서커스,서귀포,안덕면,3,80.0,0.1111111111111111,2.2777777777777777,126.3448107,33.31439218
62,액트몬 제주중문점,서귀포,중문동,6,70.0,0.3333333333333333,1.3333333333333333,126.4215166,33.24368583
63,제주동문재래야시장,제주,이도일동,4,58.8,0.54,1.24,126.5260174,33.51158875
64,제주도립김창열미술관,제주,한림읍,3,42.63157894736842,0.0526315789473684,0.8947368421052632,126.2686621,33.33906784
65,렛츠런파크제주,제주,애월읍,6,120.0,0.375,2.5,126.3980766,33.40824823
66,자구리문화예술공원,서귀포,서귀동,1,65.0,0.4166666666666667,0.4166666666666667,126.5673829,33.24174695
67,제주라프,제주,조천읍,5,64.28571428571429,0.0,2.2857142857142856,126.7068869,33.4867741
68,남원큰엉해변,서귀포,남원읍,7,50.526315789473685,0.0526315789473684,2.0,126.70371,33.27335018
69,귤귤스토어,제주,애월읍,4,25.0,0.1666666666666666,1.6666666666666667,126.3120263,33.46253453
70,세화해변,제주,구좌읍,1,56.91176470588236,0.3529411764705882,1.5588235294117647,126.8602562,33.52514366
71,홈플러스 서귀포점,서귀포,동홍동,4,40.0,0.1666666666666666,2.333333333333333,126.5599283,33.26048552
72,세리월드,서귀포,법환동,6,54.0,0.0,2.6,126.5118743,33.24701618
73,화순금모래해수욕장,서귀포,안덕면,1,190.9090909090909,0.2727272727272727,0.5454545454545454,126.3335893,33.24003243
74,훈데르트바서파크,제주,우도면,6,54.78260869565217,0.0434782608695652,1.7826086956521738,126.9565072,33.49276256
75,한림수협,제주,한림읍,4,30.0,0.5,3.0,126.2615061,33.41611525
76,우도올레보트,제주,우도면,5,40.0,0.0,2.5,126.9446065,33.49676093
77,하우목동항,제주,우도면,1,0.0,0.25,1.75,126.9429312,33.5094818
78,제주국제공항 JDC면세점,제주,용담2동,4,48.75,0.625,1.75,126.4928945,33.50696767
79,약천사,서귀포,대포동,2,47.85714285714285,0.1666666666666666,1.7142857142857142,126.4494585,33.24623622
80,원앙폭포,서귀포,상효동,1,43.333333333333336,0.1111111111111111,1.3333333333333333,126.5813297,33.30017689
81,신화워터파크,서귀포,안덕면,6,165.0,0.25,3.4166666666666665,126.3153985,33.30607406
82,수목원테마파크 아이스뮤지엄,제주,연동,3,78.0,0.2,4.4,126.4883977,33.47077732
83,무민랜드제주,서귀포,안덕면,6,120.0,0.0,2.375,126.3817793,33.3066159
84,점보빌리지,서귀포,안덕면,3,67.5,0.25,3.0,126.3051056,33.27627648
85,메이즈랜드,제주,구좌읍,6,70.9090909090909,0.1363636363636363,2.727272727272727,126.8008719,33.48825545
86,관음사,제주,아라일동,2,40.0,0.2222222222222222,1.5,128.0165872,37.34509597
87,올레야시장,서귀포,서귀동,4,46.66666666666666,0.3333333333333333,1.3333333333333333,126.5628483,33.24954102
88,제주실탄사격장,서귀포,상예동,5,30.0,0.0,1.6,126.3856848,33.26367783
89,제주현대미술관,제주,한경면,3,69.64285714285714,0.1071428571428571,0.7857142857142857,126.265585,33.33966276
90,김녕미로공원,제주,구좌읍,1,76.36363636363636,0.3636363636363636,2.727272727272727,126.7722353,33.53653188
91,헬로키티아일랜드,서귀포,안덕면,3,91.875,0.1875,2.6875,126.3520703,33.28995334
92,제주코코몽에코파크,서귀포,남원읍,6,277.5,0.125,2.875,126.7058484,33.27455623
93,한림공원,제주,한림읍,1,88.88888888888889,0.1111111111111111,1.2592592592592593,126.2401849,33.38919042
94,제주관광공사 지정면세점,서귀포,중문동,4,47.142857142857146,0.3928571428571428,1.5,126.424429,33.24134069
95,이마트 서귀포점,서귀포,법환동,4,43.84615384615385,0.5769230769230769,2.230769230769231,126.5092014,33.2483545
96,뽀로로앤타요테마파크 제주,서귀포,안덕면,6,193.84615384615384,0.0769230769230769,2.6923076923076925,126.370822,33.30041823
97,신화관 제주신화월드 스카이풀,서귀포,안덕면,6,101.25,0.125,1.125,126.3160763,33.30617607
98,돈내코유원지,서귀포,상효동,1,38.57142857142857,0.1428571428571428,1.1428571428571428,126.5841333,33.30036663
99,제주특별자치도 민속자연사박물관,제주,일도2동,2,67.5,0.0,0.875,126.5315261,33.50634441
100,방주교회,서귀포,안덕면,2,39.642857142857146,0.2857142857142857,1.75,126.3874393,33.30504898
101,제주추사관,서귀포,대정읍,2,60.0,0.0,1.75,126.2782213,33.24997299
102,김영갑갤러리두모악,서귀포,성산읍,3,52.5,0.25,1.125,126.8541359,33.37189523
103,성이시돌목장,제주,한림읍,4,43.125,0.21875,1.5,126.3273211,33.34776988
104,디앤디파트먼트 제주,제주,삼도이동,3,50.0,0.1111111111111111,1.2222222222222223,126.5231886,33.51772313
105,플레이스캠프제주,서귀포,성산읍,4,42.0,0.6,1.2,126.918209,33.44994385
106,모이소,제주,연동,4,45.0,0.0,0.75,126.4885256,33.48709669
107,포도뮤지엄,서귀포,안덕면,3,60.0,0.16,0.56,126.3859695,33.31927276
108,휘닉스제주섭지코지 수영장,서귀포,성산읍,6,102.0,0.4,3.0,126.926806,33.43057537
109,제주신라호텔 수영장,서귀포,색달동,6,165.0,0.75,2.5,126.40804,33.24747415
110,김서프제주,서귀포,색달동,5,120.0,0.25,1.0,126.414994,33.25075199
111,붉은오름자연휴양림,서귀포,표선면,7,75.0,0.0,1.375,126.6753618,33.40149008
112,파더스가든,서귀포,안덕면,6,60.0,0.0,2.0,126.3657532,33.27994208
113,서귀포유람선,서귀포,서홍동,5,93.52941176470588,0.0,2.235294117647059,126.5586449,33.23933432
114,항파두리 항몽유적지,제주,애월읍,2,41.53846153846154,0.1153846153846153,1.0384615384615383,126.4079226,33.45274787
115,월정퀵서프,제주,구좌읍,5,202.5,0.5,1.0,126.7984786,33.5547373
116,윈드1947카트테마파크,서귀포,토평동,5,66.7741935483871,0.032258064516129,1.6774193548387095,126.5888268,33.28951947
117,제주중문관광단지,서귀포,중문동,7,105.0,0.0,1.0,126.4207342,33.24583526
118,거문오름,제주,조천읍,1,180.0,0.0,2.5,126.7147427,33.45692229
119,관덕정,제주,삼도2동,2,40.0,0.1111111111111111,0.3333333333333333,126.5214571,33.51334915
120,제주돌문화공원,제주,조천읍,1,75.0,0.1,2.6,126.6590636,33.44821824
121,삼성혈,제주,이도일동,1,47.5,0.25,0.6666666666666666,126.5287631,33.50442796
122,제주목 관아,제주,삼도2동,2,42.85714285714285,0.0,0.6428571428571429,126.5220035,33.51420236
