TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
d_d004661,21,여,30,0,2,1,1,1,1,2,6,3,2.0,3,3,"['서귀포+안덕면', '서귀포+서귀동']"
d_d000475,5,여,30,0,2,3,4,2,1,1,3,2,7.0,2,1,"['제주+애월읍', '제주+일도일동']"
d_d006743,4,여,30,0,3,3,3,2,3,3,3,6,1.0,1,2,['서귀포+서귀동']
d_d004533,1,여,40,0,4,4,4,3,3,5,4,4,2.0,2,2,['서귀포+서귀동']
d_d003557,12,남,30,0,3,2,2,4,2,4,2,5,2.0,1,0,['서귀포+하효동']
d_d004678,1,여,30,0,1,1,4,4,4,4,5,4,7.0,2,0,['제주+한림읍']
d_d004619,2,여,30,0,2,1,2,2,4,4,6,3,3.0,4,3,['제주+애월읍']
d_d005444,1,여,20,0,4,4,5,2,3,5,5,7,9.0,5,1,['서귀포+안덕면']
d_d012321,2,여,40,0,1,1,4,5,5,2,1,3,8.0,1,3,['제주+애월읍']
d_d010886,5,여,20,0,1,1,1,4,4,1,7,1,1.0,10,0,['제주+조천읍']
d_d010461,23,여,20,0,5,5,3,4,5,4,5,6,2.0,6,0,['서귀포+안덕면']
d_d002756,10,여,30,0,1,1,4,2,4,4,4,7,1.0,2,1,['제주+일도일동']
d_d000485,23,여,20,0,2,2,4,4,3,4,6,2,2.0,3,1,['서귀포+색달동']
d_d009751,28,남,30,0,3,3,4,4,3,4,3,5,2.0,1,0,['제주+일도일동']
d_d004371,26,여,30,0,4,4,2,3,4,4,6,2,1.0,1,2,['서귀포+성산읍']
d_d002670,10,여,30,0,1,1,1,4,1,2,1,7,2.0,3,0,['제주+한림읍']
d_d001519,22,여,30,0,1,1,2,4,4,2,2,6,1.0,1,7,"['서귀포+서귀동', '제주+조천읍']"
d_d003745,2,여,20,0,5,5,6,2,2,4,2,6,2.0,1,0,['서귀포+색달동']
d_d006064,1,남,20,0,4,3,3,5,4,4,3,6,3.0,4,1,['서귀포+서귀동']
d_d009732,28,남,30,0,1,6,1,6,1,6,7,4,4.0,2,1,['서귀포+안덕면']
d_d009258,2,여,20,0,1,3,1,5,2,1,1,7,7.0,1,1,['제주+구좌읍']
d_d001727,1,여,20,0,6,2,1,1,7,1,1,7,1.0,3,1,['제주+구좌읍']
d_d002325,2,남,30,0,2,2,1,1,6,6,4,2,3.0,1,7,['서귀포+성산읍']
d_d002686,9,남,30,0,3,6,4,2,1,4,2,1,3.0,4,1,['서귀포+서귀동']
d_d011813,22,여,20,0,1,2,2,5,4,5,7,2,7.0,2,1,['제주+구좌읍']
d_d001336,22,여,20,0,2,4,2,4,6,4,7,6,1.0,6,0,['제주+일도일동']
d_d010184,1,여,20,0,2,1,3,2,5,4,1,6,2.0,1,1,['서귀포+대정읍']
d_d002440,11,여,40,0,1,1,2,4,4,4,3,4,3.0,1,1,['제주+구좌읍']
d_d010736,6,남,20,0,4,2,4,2,5,3,1,6,3.0,1,1,['서귀포+안덕면']
d_d009192,22,여,20,0,6,3,5,2,1,5,3,6,3.0,4,1,['제주+이도일동']
d_d007060,28,남,40,0,1,2,1,5,6,1,2,7,7.0,5,0,['서귀포+표선면']
d_d001300,21,여,30,0,2,3,3,3,4,3,4,5,10.0,2,0,['서귀포+성산읍']
d_d002404,23,남,50,0,5,3,5,3,2,4,2,3,1.0,2,0,['제주+연동']
d_d007893,22,여,20,0,6,2,2,5,6,2,6,6,2.0,1,0,['서귀포+대포동']
d_d007179,23,남,30,0,4,4,2,2,4,4,1,6,1.0,6,1,['서귀포+안덕면']
d_d000840,5,남,30,0,3,1,3,1,1,4,4,2,2.0,2,2,['제주+구좌읍']
d_d003038,12,여,30,0,1,7,1,4,7,4,4,7,3.0,2,3,['서귀포+동홍동']
d_d009193,13,여,40,0,2,3,1,4,3,4,2,5,2.0,1,2,['제주+한림읍']
d_d007586,11,남,20,0,2,2,4,2,4,6,4,7,5.0,1,0,['서귀포+동홍동']
d_d012273,11,남,40,0,3,5,5,5,3,3,5,3,8.0,1,3,['서귀포+안덕면']
d_d003455,28,여,50,0,1,1,2,4,2,4,2,3,1.0,3,0,['서귀포+성산읍']
d_d012305,21,남,30,0,1,1,1,5,1,2,6,2,2.0,2,1,['서귀포+안덕면']
d_d000757,21,남,20,0,1,1,1,1,4,1,7,7,2.0,1,2,['서귀포+성산읍']
d_d004627,1,여,20,0,4,1,4,3,2,4,3,7,2.0,7,1,['서귀포+서귀동']
d_d003630,8,남,20,0,2,1,3,4,2,2,4,6,2.0,3,0,['제주+노형동']
d_d010348,23,남,30,0,2,1,2,3,5,5,5,2,1.0,5,0,['제주+애월읍']
d_d007401,28,남,20,0,4,2,2,2,2,2,2,2,4.0,2,0,['서귀포+안덕면']
d_d003172,22,여,30,0,6,2,7,6,1,7,7,2,4.0,3,1,['서귀포+서귀동']
d_d009683,21,여,40,0,1,4,1,6,4,1,7,5,9.0,2,6,['제주+일도일동']
d_d006648,23,여,20,0,5,1,2,2,4,5,5,5,5.0,2,1,['서귀포+서귀동']
d_d010250,1,여,20,0,4,2,2,2,2,4,4,4,2.0,2,2,['서귀포+안덕면']
d_d005144,3,여,20,0,2,3,1,3,3,2,5,4,2.0,6,0,['제주+우도면']
d_d012407,22,여,30,0,3,4,3,4,6,5,2,6,3.0,2,2,['서귀포+안덕면']
d_d002591,5,남,20,0,6,3,3,2,2,4,7,2,2.0,1,0,['제주+노형동']
d_d008062,24,남,30,0,3,3,3,4,5,5,5,5,3.0,3,1,['제주+한림읍']
d_d004618,1,여,20,0,2,3,3,5,4,4,4,6,2.0,1,0,['서귀포+대정읍']
d_d003636,6,여,30,0,4,1,2,2,2,3,5,6,1.0,5,0,['제주+애월읍']
d_d007997,2,남,20,0,2,2,1,6,6,6,2,4,2.0,1,0,['서귀포+성산읍']
d_d004166,2,여,20,0,1,1,1,4,1,1,4,1,2.0,1,1,['서귀포+안덕면']
d_d004648,24,남,50,0,2,4,2,3,5,2,4,4,1.0,1,0,['서귀포+성산읍']
d_d002699,23,여,30,0,1,1,7,1,1,1,7,1,1.0,5,0,['제주+일도일동']
d_d001630,22,여,20,0,1,1,1,1,1,1,1,7,2.0,3,2,['제주+이도일동']
d_d001402,12,남,20,0,1,7,1,7,7,7,1,7,3.0,1,1,"['제주+이도일동', '서귀포+서귀동']"
d_d005560,4,남,30,0,4,4,4,4,2,4,7,6,1.0,2,1,['제주+조천읍']
d_d006916,23,여,30,0,2,4,3,4,6,6,2,7,7.0,1,2,['서귀포+안덕면']
d_d012296,9,남,30,0,2,4,2,4,3,4,5,3,3.0,2,1,['서귀포+남원읍']
d_d000669,22,여,20,0,1,1,1,3,1,6,4,7,3.0,1,3,['제주+용담2동']
d_d003833,9,남,40,0,2,1,2,2,1,5,1,5,1.0,3,2,['제주+애월읍']
d_d004399,2,여,30,0,3,2,2,2,3,5,2,6,1.0,3,2,['제주+노형동']
d_d003574,22,남,20,0,7,5,2,7,4,3,6,5,2.0,1,0,['서귀포+서귀동']
d_d004241,2,여,30,0,4,4,3,3,3,5,3,2,5.0,2,3,['제주+해안동']
d_d002078,2,남,20,0,2,2,4,3,2,6,3,3,3.0,6,1,['제주+한림읍']
