TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
c_c002938,2209270002,1,0,,커피,N,1,
c_c003145,2210030005,3,0,,근대미술관 관람,N,1,2
c_c000105,2208150003,1,0,,떡갈비,N,1,
c_c001194,2209020008,5,0,,,,,
c_c014209,2211130003,1,0,,크림파스타 토마토리조또,N,1,
c_c004831,2210050009,1,0,,여수돌문어삼합,N,1,
c_c003716,2210180008,5,0,,,,,
c_c002354,2209080007,7,1,,,,,
c_c001290,2209040006,7,0,,,,,
c_c005972,2210090003,1,0,,햄버거 음료수 감자튀김,N,1,
c_c009856,2210270006,1,0,,우렁이 2인세트,N,1,
c_c011412,2210290006,5,0,,,,,
c_c000159,2208270002,2,0,,자연드림마트에서 아이들 간식용 먹거리;수제맥주,N,5,
c_c004075,2209290011,6,1,,족욕,N,5,
c_c011323,2210280003,1,0,,바닐라라떼;콜드브루,N,1,
c_c012091,2210310004,5,1,,,,,
c_c000848,2208200005,6,2,,플로깅,N,5,
c_c003281,2210010005,5,5,,,,,
c_c003347,2210100002,7,0,,,,,
c_c006609,2210150009,5,2,,,,,
c_c002703,2210010006,1,0,,밤;소세지;라면,Y,4,
c_c014292,2211110006,1,0,,짜글이,N,1,
c_c004444,2210010006,7,1,,,,,
c_c004096,2210020004,1,0,,아이스크림,Y,1,
c_c012824,2211060003,1,0,,회,N,4,
c_c000502,2208200002,3,1,,물방개놀이,N,1,
c_c009589,2210300003,4,0,,,,,
c_c003480,2211050004,1,0,,짜글이;공기밥;소주,N,1,
c_c001811,2209030003,3,0,,홍주성역사관 관람,N,5,2
c_c000753,2208190004,1,3,,추어탕과 추어튀김 세트,Y,1,
c_c011236,2210310005,1,0,,매화정식 2,N,1,
c_c000722,2208200008,3,2,,계곡 스노쿨링;수영,N,5,
c_c011548,2211030002,4,1,,,,,
c_c005696,2210220008,1,0,,텐동,N,1,
c_c000666,2208270004,1,0,,여러가지 빵과 커피,N,1,
c_c002292,2209230003,3,0,,천안 흥타령 춤축제 공연 관람,N,5,1;2
c_c004607,2210220005,1,1,,,,4,
c_c002620,2209230003,1,0,,삼춘짬뽕;차돌짬뽕,N,1,
c_c004186,2209300002,2,0,,큰갸름스푼;대나무가공품,Y,1,
c_c002401,2209170008,4,0,,,,,
c_c002767,2209240002,4,1,,,,,
c_c007695,2210220006,1,0,,오리주물럭,N,1,
c_c001734,2208280004,4,0,,,,,
c_c001199,2209030002,1,0,,세종대왕 치유식 시식체험 조식,Y,4,
c_c008145,2210230004,3,0,,아쿠아리움 관람,Y,1,2
c_c002422,2209170002,5,0,,,,,
c_c003726,2210010012,1,1,,편의점 맥주 / 과자,N,2,
c_c001871,2209040002,1,0,,빵;커피;오미자차;아이스크림,N,1,
c_c009987,2210290003,1,0,,볼카츠,Y,1,
c_c001696,2209030002,4,2,,,,,
c_c004072,2210010008,5,0,,,,,
c_c003781,2210010006,3,0,,축제 행사  체험,N,5,1;2
c_c013627,2211040007,4,1,,,,,
c_c000307,2208190002,1,0,,입맛없을땐 짜글이;등심순살돈가스,N,1,
c_c002237,2209250006,6,1,,숙소에서 휴식,Y,5,
c_c006426,2210290009,4,0,,,,,
c_c002215,2209250008,7,0,,,,,
c_c005281,2210070002,1,0,,황태해장국,N,1,
c_c003982,2210070003,1,0,,오뎅;쫄면;김밥;라면,Y,1,
c_c003129,2209240006,7,0,,,,,
c_c006274,2210220003,1,0,,구경시장에서 구매한 닭강정;콜라;물;컵라면,Y,1;2,
c_c000702,2208200008,1,1,,백합정식 2인,N,1,
c_c003608,2210020005,1,0,,쑥아이스크림,N,1,
c_c011396,2210290003,6,0,,미용실,Y,1,
c_c006082,2210290004,4,1,,,,,
c_c002100,2209160006,4,0,,,,,
c_c002114,2209180003,1,0,,반줄김밥;치즈김밥;참치김밥;땡초김밥;떡볶이;우동;라면;돌솥비빔밥,N,1,
c_c009384,2210280008,1,0,,아이스 아메리카노 아이스 카페라떼,Y,1,
c_c012210,2210290005,1,0,,홍게라면;닭갈비볶음밥;닭다리과자;숯불핫바;스팸간장덮밥;물,N,1,
c_c006594,2210300004,4,0,,,,,
c_c004829,2210010003,5,1,,,,,
c_c002721,2209250006,5,1,,,,,
c_c013883,2211060002,1,0,,초밥;나가사끼 짬뽕 (사진 촬영 어려웠습니다.),N,1,
c_c003528,2210080006,2,1,,치킨,Y,5,
c_c006422,2210230002,5,2,,,,,
c_c003301,2209270009,5,0,,,,,
c_c012464,2211030006,5,1,,,,,
c_c004956,2211030005,6,3,,게스트하우스 예약 및 숙박,Y,5,
c_c006635,2210230003,4,1,,,,,
c_c013817,2211060007,1,0,,쌀아이스크림,N,1,
c_c006737,2210300004,1,0,,비빔밥,N,1,
c_c002360,2209090009,3,0,,아르떼뮤지엄 전시관람,N,1,2
c_c003351,2210030003,1,0,,닭꼬치;소떡소떡;음료수;회오리감자,Y,4,
c_c003342,2210100001,5,0,,,,,
c_c001078,2208210002,1,0,,커피,N,1,
c_c004265,2210010002,5,1,,,,,
c_c012020,2210290011,1,0,,아이스라떼,N,1,
c_c008904,2210270005,4,3,,,,,
c_c005887,2210100001,1,0,,옹심이메밀칼국수 메밀전병,N,1,
c_c010022,2210290002,4,1,,,,,
c_c014179,2211120003,7,0,,,,,
c_c000676,2208270004,1,0,,꼬지;닭강정,N,4,
c_c009854,2210300003,3,0,,공룡 놀이터 체험;모래놀이터;짚라인 체험,N,5,1;2
c_c007955,2210270007,2,1,,지사제,N,5,
c_c002970,2209290004,5,0,,,,,
c_c007508,2210220004,5,3,,,,,
c_c003136,2210030007,4,0,,,,,
c_c000666,2208270002,5,2,,,,,
c_c006831,2210230004,4,0,,,,,
c_c005278,2210290008,5,0,,,,,
c_c014138,2211090006,1,0,,아이스 아메리카노,N,1,
c_c014232,2211100004,1,0,,곱창구이;국밥,N,1,
c_c013641,2211050005,3,5,,개구리생태공원,N,5,2
c_c013129,2211050010,1,3,,소고기구이;샤브샤브,N,4,
c_c003170,2210060003,7,0,,,,,
c_c012859,2211020002,1,0,,라면;즉석밥;김밥,Y,2,
c_c006719,2210300002,1,0,,마쉐이크 블루베리주스 흑임자라떼,N,1,
c_c002553,2209180004,2,0,,비누,N,1,
c_c001277,2208270003,1,1,,음료수;과자,N,1,
c_c011451,2210280005,7,0,,,,,
c_c000026,2208170005,1,0,,짜장면 짬뽕 탕수육,N,1,
c_c011323,2210270006,3,1,,일본식가옥 관람,N,5,2
c_c002115,2209150003,4,0,,,,,
c_c003272,2210160008,2,2,,카페인음료,N,1,
c_c003010,2209260014,5,0,,,,,
c_c010895,2211050005,1,2,,,,4,
c_c001157,2208270005,2,0,,옛날 과자;옛날 소품 등등 (아이쇼핑),N,5,
c_c008274,2210300007,4,0,,,,,
c_c006415,2210290005,3,0,,국가정원 입장 및 관람을 하였습니다. 실내정원 등 곳곳에 2023년 국가정원박람회를 위한 공사가 많아 많이 둘러보지는 못하였으나;순천호수공원 및 언덕 등 국가정원 전반적으로 관람하였고;600년된 할아버지 나무 관람;호수공원을 가로지르는 다리를 건너며 순천만습지를 표현한 다양한 조형물도 관람하였습니다.,Y,5,2
c_c004186,2209300005,5,2,,,,,
c_c006657,2210220006,2,0,,여수 마그넷,Y,1,
c_c000510,2209010001,1,0,,파스타와 에그베네딕트,N,1,
c_c002311,2209170010,3,2,,마곡사 절 구경,N,1,2
c_c006687,2210290006,1,0,,커피;빵,Y,1,
c_c011983,2210290002,5,1,,,,,
c_c002306,2209250004,1,0,,칼국수;만두,N,1,
c_c011442,2210300005,1,2,,,,4,
c_c002072,2209180005,2,0,,간식 및 음료수,N,1,
c_c002192,2209150005,4,0,,,,,
c_c013236,2211050006,5,3,,,,,
c_c005352,2210220006,2,0,,식자재,N,5,
c_c011164,2210300001,5,1,,,,,
c_c012224,2211060005,1,0,,우달산라떼;나리마자그란,N,1,
c_c001167,2208260009,4,0,,,,,
c_c000931,2208270004,5,1,,,,,
c_c002549,2209160006,4,0,,,,,
c_c002890,2210070003,7,1,,,,,
c_c004937,2210240003,7,0,,,,,
c_c007635,2210230003,2,0,,전주 초코파이 10개,N,5,
c_c014112,2211050003,1,0,,짜장돈까스육개장,N,1,
c_c002163,2209210007,5,0,,,,,
c_c010877,2210310016,1,0,,단팥빵;우유크림빵;아이스 녹차티,N,1,
c_c000906,2208260002,2,0,,와인,N,1,
c_c001823,2209020005,3,0,,머루와인동굴 입장료,N,1,2
c_c014269,2211130002,3,0,,저수지 구경.친적집 김장체험,Y,5,1
c_c000730,2208190011,6,1,,숙박,Y,5,
c_c004486,2210020005,4,0,,,,,
c_c007901,2210190002,2,4,,쿠키,N,5,
c_c002371,2209230003,2,0,,LED   무드등,N,1,
c_c009133,2211060006,3,0,,영화 고속도로가족 관람,N,1,2
c_c003962,2210080003,7,0,,,,,
c_c011345,2210290002,7,0,,,,,
c_c002854,2209230004,3,2,,갯벌에서 조개캐기,N,5,1
c_c001227,2208260002,1,0,,소고기국밥;우동;딸기요구르트,N,1,
c_c001935,2209170009,1,0,,매운맛 모츠나베,N,1,
c_c001139,2209080005,4,1,,,,,
c_c007469,2210170002,5,1,,,,,
c_c002594,2209210002,1,0,,떡반(중);치즈떡반(중);햄치즈토스트;딸기주스,N,1,
c_c003718,2210150002,4,0,,,,,
c_c001985,2209090002,1,1,,,,4,
c_c002354,2209080001,5,1,,,,,
c_c007590,2210170006,5,0,,,,,
c_c000416,2208280011,5,0,,,,,
c_c002101,2209180004,4,2,,,,,
c_c000834,2208270007,2,0,,치킨(테이크아웃),N,5,
c_c001535,2208270005,4,0,,조개잡이 및 해수욕;모래놀이,N,5,
c_c005985,2210290006,6,3,,DSLR 사진촬영,N,5,
c_c002112,2209280001,3,0,,아쿠아리움 관람,N,5,2
c_c003002,2209240001,1,0,,소고기국밥 도토리묵사발,N,1,
c_c012836,2211060001,1,0,,프렌치 토스트;밀크티,N,1,
c_c003134,2210010002,5,2,,,,,
c_c003239,2210090001,1,0,,헤이즐넛라떼;커피set(아이스아메리카노;바게트버거) - 길거리야,N,1,
c_c003147,2209260002,6,0,,순천으로 이동하기 위해서 감,Y,5,
c_c007766,2210290004,3,1,,감따기 체험,Y,1,1
c_c001258,2209030003,6,1,,화장실 방문,N,5,
c_c003137,2209250006,4,0,,,,,
c_c004739,2210010007,2,0,,저녁 바비큐와 간식,N,1,
c_c013144,2211060003,4,0,,,,,
c_c007806,2210220005,5,0,,,,,
c_c003136,2210030002,3,0,,문화관 전체 관람;역사관;자연관;문화관;전망대;옥상정원,N,5,2
