TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c008708,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c001242,50,교통비,0,버스 + 지하철,2,,,,,17400,
c_c000074,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,210000,
c_c013644,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,70000,
c_c000099,1,주유비,0,자가용(승용/승합/트럭 등등),6,,,,,100000,
c_c003255,2,렌탈비,0,렌터카(승용/승합/버스 등등),3,,,,,78000,
c_c009042,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,30000,
c_c002063,7,교통비,2,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-08-18 23:30:00.000,1,52800,기차표 
c_c008957,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,6000,
c_c005697,2,렌탈비,0,렌터카(승용/승합/버스 등등),2,,,,,84000,
c_c001071,2,주유비,0,렌터카(승용/승합/버스 등등),1,,,,,39000,
c_c009209,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,12840,
c_c002622,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c003756,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,12500,
c_c013909,14,렌탈비,0,자전거,1,,,,,1000,
c_c004072,8,교통비,3,새마을/무궁화열차,2,3148210024,한국철도공사,2022-10-02 14:38:00.000,1,11400,기차표 
c_c000427,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,110000,
c_c012095,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
c_c001903,1,주차비,0,자가용(승용/승합/트럭 등등),6,,,,,2000,
c_c003227,50,교통비,0,버스 + 지하철,2,,,,,5600,
c_c012899,1,주차비,0,자가용(승용/승합/트럭 등등),2,,,,,10000,
c_c001454,7,교통비,1,KTX/SRT(고속열차),2,3148210024,한국철도공사,2022-08-27 18:01:00.000,1,36600,기차표 
c_c006763,7,교통비,2,KTX/SRT(고속열차),1,,,2022-10-30 16:46:00.000,1,26500,기차표
c_c001477,4,교통비,0,택시,5,,,,,56000,
c_c009389,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,10000,
c_c008005,50,교통비,0,버스 + 지하철,2,,,,,110400,
c_c002959,4,교통비,1,택시,1,8553600660,,2022-09-24 19:21:00.000,1,11300,택시비
c_c000410,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,7200,
c_c004676,1,통행료,0,자가용(승용/승합/트럭 등등),1,,,,,2800,
c_c001587,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,10997,
c_c003688,50,교통비,0,버스 + 지하철,2,,,,,15200,
c_c012069,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,12900,
c_c008979,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,18700,
c_c003224,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,11000,
c_c001866,50,교통비,0,버스 + 지하철,2,,,,,59700,
c_c010048,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,16600,
c_c003242,1,주유비,11,자가용(승용/승합/트럭 등등),1,5068524768,이동대원주유소,2022-10-01 12:48:00.000,1,81000,주유비
c_c011256,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,2300,
c_c009478,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,14400,
c_c002302,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,50000,
c_c013530,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,100000,
c_c001005,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,10900,
c_c006058,1,주차비,11,자가용(승용/승합/트럭 등등),1,3058107023,올림픽기념국민생활관,2022-10-15 15:48:00.000,1,1700,주차비
a_a015656,50,교통비,0,버스 + 지하철,1,,,,,5000,
c_c002024,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,,1,7200,기차표 
c_c002873,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,100000,
c_c009183,1,주유비,0,자가용(승용/승합/트럭 등등),10,,,,,200000,
c_c002348,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,20000,
c_c005985,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,28000,
c_c012205,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,70000,
c_c000701,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,20500,
c_c006165,50,교통비,0,버스 + 지하철,2,,,,,2370,
c_c013759,1,주유비,0,자가용(승용/승합/트럭 등등),3,,,,,30000,
c_c004881,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,2000,
c_c000906,1,통행료,11,자가용(승용/승합/트럭 등등),2,1298200103,한국도로공사,2022-08-25 12:18:00.000,1,4600,통행료
c_c011839,1,통행료,0,자가용(승용/승합/트럭 등등),3,,,,,22600,
c_c000730,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,82000,
c_c001557,1,주유비,12,자가용(승용/승합/트럭 등등),1,2068508214,지에스칼텍스(주)도루코주유소,2022-09-03 15:01:00.000,1,13000,주유비
c_c011594,4,교통비,1,택시,1,,,2022-11-02 07:25:00.000,1,5900,택시비
c_c010029,8,교통비,2,새마을/무궁화열차,2,3148210024,한국철도공사,2022-10-27 00:00:00.000,3,4600,기차표 
c_c005637,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,1000,
c_c013461,4,교통비,2,택시,1,5152062016,택시,2022-11-03 17:13:00.000,1,3400,택시비
c_c003024,1,주유비,11,자가용(승용/승합/트럭 등등),2,7842400424,행운주유소,2022-10-01 10:54:00.000,1,50000,주유비
c_c003456,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,5800,
c_c009028,1,주유비,0,자가용(승용/승합/트럭 등등),4,,,,,50000,
c_c013883,4,교통비,3,택시,2,4020976811,개인택시,2022-11-06 16:04:00.000,1,7600,택시비
c_c004337,8,교통비,0,새마을/무궁화열차,2,,,,,60400,기차표
c_c013527,7,교통비,1,KTX/SRT(고속열차),1,3148210024,한국철도공사,2022-11-01 00:00:00.000,1,44900,기차표 
c_c012580,1,주유비,0,자가용(승용/승합/트럭 등등),5,,,,,100000,
c_c012797,2,렌탈비,11,렌터카(승용/승합/버스 등등),1,,전주공영자전거,,1,1000,대여료
c_c012487,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,9000,
c_c006225,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,10500,
