TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c008684,46,남,30,5,1,2,2,8,,6,7,3,4,11,11680,26,26500,50,50130,2,2,4,4,4,5,3,6,전라남도,전남,2인 가족 여행,2022-10-30~2022-10-31,3,2,6,1
c007750,45,남,40,6,1,2,3,2,,5,6,2,1,45,45130,29,29170,47,47720,4,4,4,4,4,3,3,3,전라북도,대전,나홀로 여행,2022-10-23~2022-10-23,8,7,,0
c008912,46,남,40,7,1,2,4,2,,5,5,1,1,45,45110,45,45740,50,50110,1,6,3,2,2,5,1,6,전라남도,전북,부모 동반 여행,2022-10-29~2022-10-29,1,5,2,3
c008636,48,남,30,6,1,1,3,8,,4,8,2,1,48,48250,47,47130,50,50110,2,6,2,5,2,6,2,6,경상남도,전북,나홀로 여행,2022-10-29~2022-10-30,1,7,2,0
c012673,29,남,30,6,1,1,1,2,,3,,3,3,50,50110,44,44180,46,46110,2,6,4,6,6,5,6,2,광주광역시,전남,나홀로 여행,2022-10-30~2022-10-30,1,6,8,0
c009978,11,여,20,4,1,1,4,12,,2,12,3,4,50,50110,26,26350,46,46130,1,1,2,4,2,5,1,7,서울특별시,전북,2인 여행(가족 외),2022-10-31~2022-10-31,1,3,5,1
c010937,11,남,20,6,1,1,4,7,,4,12,2,2,41,41110,42,42150,50,50110,2,1,1,1,1,2,1,7,서울특별시,전북,2인 여행(가족 외),2022-10-30~2022-10-30,2,6,3,1
c008863,41,여,30,6,1,1,4,2,,4,12,2,2,42,42210,28,28185,42,42150,3,3,2,3,5,3,3,5,경기도,충남,2인 가족 여행,2022-11-06~2022-11-06,3,,,2
c004444,41,남,30,5,1,1,1,3,,4,,3,4,48,48250,42,42780,42,42790,1,1,1,7,7,1,7,4,경기도,전북,나홀로 여행,2022-09-30~2022-10-01,1,4,8,0
c013528,11,여,20,4,1,1,3,3,,3,5,2,1,41,41110,42,42150,28,28110,6,2,2,4,2,3,6,6,서울특별시,대전,나홀로 여행,2022-11-06~2022-11-06,2,1,6,0
c011164,11,여,30,7,1,1,1,2,,5,,3,4,28,28710,47,47130,26,26350,3,3,4,4,5,3,5,3,서울특별시,대전,나홀로 여행,2022-10-29~2022-10-31,2,1,7,0
c004420,46,여,20,6,1,1,1,2,,4,,2,1,29,29170,46,46230,11,11305,2,2,2,2,1,3,7,6,전라남도,전남,나홀로 여행,2022-10-29~2022-10-30,1,4,2,0
c000214,41,여,40,6,1,2,4,2,,2,7,2,1,41,41820,42,42150,43,43800,2,2,2,3,3,4,2,5,경기도,충남,자녀 동반 여행,2022-08-26~2022-08-27,1,2,3,3
c003656,29,남,30,7,2,2,2,2,,5,7,3,6,46,46710,50,50110,29,29200,5,5,2,4,3,4,2,2,광주광역시,전남,3인 이상 여행(가족 외),2022-09-30~2022-09-30,3,1,7,2
c000019,41,여,40,8,1,2,3,2,,12,12,2,1,43,43800,42,42760,26,26350,1,1,4,1,1,1,3,1,경기도,충북,자녀 동반 여행,2022-08-12~2022-08-15,2,1,4,4
c003935,11,남,60,6,1,2,3,4,,7,9,2,1,41,41830,44,44800,46,46130,2,4,2,4,3,3,2,6,서울특별시,충남,2인 가족 여행,2022-10-13~2022-10-14,3,2,1,1
c005868,41,여,30,6,1,2,3,3,,4,8,2,2,47,47130,26,26350,43,43800,5,4,1,1,3,1,1,7,경기도,충북,3인 이상 여행(가족 외),2022-10-15~2022-10-15,1,,,2
c014182,44,남,40,5,1,1,3,7,,6,10,3,10,50,50110,44,44130,11,11440,4,1,2,4,2,2,4,4,충청남도,충남,나홀로 여행,2022-11-12~2022-11-12,4,2,1,0
c008826,11,여,30,7,1,1,3,2,,6,8,2,1,26,26710,42,42210,50,50110,1,1,1,1,1,7,7,1,서울특별시,충북,2인 가족 여행,2022-11-04~2022-11-04,1,2,7,1
c012022,28,여,40,5,1,2,3,2,,2,5,3,5,42,42170,26,26710,27,27140,4,4,4,4,4,4,4,4,인천광역시,충북,3인 이상 여행(가족 외),2022-11-02~2022-11-03,4,7,3,2
c003381,11,여,20,6,3,1,1,12,,1,,3,2,29,29200,27,27110,26,26350,6,2,3,4,5,3,7,3,서울특별시,전남,3대 동반 여행(친척 포함),2022-10-10~2022-10-12,3,7,10,3
c006044,29,여,20,6,1,1,2,3,,3,3,2,2,50,50130,50,50110,11,11680,5,2,1,1,2,2,4,6,광주광역시,전남,2인 여행(가족 외),2022-10-19~2022-10-19,1,3,2,1
c003204,29,남,30,6,1,1,1,3,,6,,3,6,46,46170,26,26710,11,11680,4,6,2,3,4,2,2,4,광주광역시,전남,2인 여행(가족 외),2022-10-01~2022-10-02,1,7,3,1
c011396,28,여,30,6,1,2,2,11,,2,4,3,4,47,47130,42,42150,11,11140,7,4,4,4,5,5,3,6,인천광역시,충남,2인 가족 여행,2022-10-29~2022-10-30,9,3,1,1
c009119,41,여,30,5,1,2,3,11,,1,6,1,1,41,41220,47,47110,28,28710,1,7,4,4,4,4,5,3,경기도,충남,자녀 동반 여행,2022-10-23~2022-10-23,3,1,2,2
c012885,11,여,30,6,2,2,3,3,,4,10,2,2,50,50130,26,26350,42,42150,4,2,2,2,5,4,6,6,서울특별시,전북,자녀 동반 여행,2022-11-03~2022-11-04,3,8,1,1
c009322,30,여,20,4,1,1,1,3,,4,,2,1,26,26350,11,11710,46,46130,1,1,1,3,7,7,3,7,대전광역시,세종,2인 여행(가족 외),2022-10-30~2022-10-30,3,5,1,1
c003982,30,여,30,6,1,2,4,4,,4,6,3,4,44,44180,50,50110,50,50130,1,3,2,6,1,3,6,7,대전광역시,충남,자녀 동반 여행,2022-10-06~2022-10-07,1,2,6,3
c000434,11,여,40,7,1,2,4,3,,7,12,1,3,42,42820,41,41820,50,50130,1,1,4,3,4,4,2,1,서울특별시,충북,자녀 동반 여행,2022-08-22~2022-08-24,2,3,1,3
c001719,31,여,20,6,1,1,4,,2,1,5,4,1,26,26710,50,50110,27,27140,4,4,4,5,5,6,5,3,울산광역시,대전,부모 동반 여행,2022-08-30~2022-08-31,2,1,3,3
c004183,30,남,30,6,1,2,3,5,,4,8,2,1,26,26200,31,31170,42,42820,3,2,3,3,3,5,3,5,대전광역시,전북,자녀 동반 여행,2022-10-01~2022-10-02,1,3,7,4
c002223,41,여,20,6,1,1,4,,3,1,7,3,2,47,47130,42,42150,11,11440,4,2,2,6,5,5,7,7,경기도,전북,나홀로 여행,2022-09-22~2022-09-23,1,2,7,0
c003473,41,남,20,7,5,1,4,12,,4,10,1,1,50,50130,26,26500,42,42210,1,1,1,3,7,7,1,7,경기도,전남,나홀로 여행,2022-09-30~2022-10-02,7,1,2,0
c012052,41,여,40,7,1,2,3,2,,4,7,2,1,41,41110,42,42130,11,11110,1,1,1,1,1,6,1,5,경기도,충남,부모 동반 여행,2022-11-04~2022-11-05,8,2,3,4
b011328,26,여,50,4,1,2,1,3,,5,,2,2,48,48310,47,47130,11,11680,4,3,3,2,2,4,3,3,부산광역시,경북,3인 이상 여행(가족 외),2022-11-05~2022-11-05,9,1,3,3
c002274,11,남,20,6,2,1,4,,2,1,10,3,6,50,50110,11,11110,44,44130,6,6,6,2,5,3,6,5,서울특별시,충남,나홀로 여행,2022-09-09~2022-09-09,4,2,1,0
c005043,30,여,30,6,1,2,2,2,,5,8,3,5,50,50130,42,42830,42,42150,2,2,2,4,6,6,1,7,대전광역시,충북,나홀로 여행,2022-10-10~2022-10-10,5,1,4,0
c010857,41,여,40,7,1,1,1,2,,8,,2,2,26,26500,11,11710,41,41270,6,3,4,1,2,6,2,6,경기도,충남,나홀로 여행,2022-11-05~2022-11-05,1,2,7,0
c009358,41,남,40,7,1,2,4,3,,10,10,2,1,50,50130,42,42750,47,47130,2,3,3,4,5,4,5,3,경기도,전북,자녀 동반 여행,2022-11-05~2022-11-05,1,3,8,3
c012305,43,여,20,5,1,1,1,3,,4,,3,5,11,11590,30,30200,44,44180,6,3,2,5,6,7,2,5,충청북도,대전,2인 여행(가족 외),2022-11-05~2022-11-05,1,5,,1
c009039,45,여,30,6,1,1,3,3,,4,6,2,1,50,50130,50,50110,11,11110,2,1,2,2,1,3,2,7,전라북도,전북,나홀로 여행,2022-11-03~2022-11-03,2,6,5,0
c000732,11,여,30,6,1,2,2,3,,6,6,2,1,26,26350,42,42210,28,28710,2,3,2,4,4,4,2,4,서울특별시,충북,2인 가족 여행,2022-08-20~2022-08-21,1,9,,1
c011628,45,여,30,6,1,1,1,3,,3,,2,1,45,45710,46,46710,44,44180,1,4,2,2,1,3,7,5,전라북도,전북,나홀로 여행,2022-10-29~2022-10-29,4,5,2,0
c008009,47,남,60,3,1,2,5,9,,5,5,3,3,42,42210,26,26350,46,46900,2,6,6,2,2,6,2,2,경상북도,충북,자녀 동반 여행,2022-10-23~2022-10-23,6,4,7,4
c006225,36,여,60,6,1,2,4,7,,5,8,2,2,44,44150,30,30200,26,26350,6,2,4,6,6,5,3,3,세종특별자치시,전북,자녀 동반 여행,2022-10-16~2022-10-16,3,1,2,3
c002904,41,여,30,5,1,1,3,7,,5,6,3,4,50,50110,26,26350,44,44825,3,2,1,5,6,6,1,7,경기도,충남,2인 여행(가족 외),2022-09-25~2022-09-27,1,7,2,1
c009203,27,여,20,6,1,1,1,13,,4,,2,1,47,47750,31,31140,47,47820,3,3,2,3,2,3,6,6,대구광역시,전남,나홀로 여행,2022-10-28~2022-10-29,2,7,4,0
c006651,30,여,60,6,1,2,3,5,,4,7,3,3,44,44825,48,48220,11,11680,3,4,2,4,3,5,6,4,대전광역시,충남,3인 이상 여행(가족 외),2022-10-16~2022-10-16,2,3,1,2
c006792,46,남,50,6,1,1,2,3,,12,12,2,2,46,46840,50,50130,41,41820,1,6,1,1,3,1,7,2,전라남도,전북,3인 이상 여행(가족 외),2022-10-22~2022-10-22,6,3,2,3
c003178,41,여,30,6,1,2,2,2,,7,9,3,4,50,50130,42,42830,45,45800,2,2,2,4,4,4,6,3,경기도,전북,2인 가족 여행,2022-10-01~2022-10-03,2,1,3,1
c008109,29,남,20,6,1,1,3,9,,3,6,3,1,11,11680,26,26530,50,50130,6,2,4,3,2,4,6,2,광주광역시,전남,나홀로 여행,2022-10-23~2022-10-23,2,4,1,0
c000168,11,여,20,6,5,1,1,3,,2,,3,3,42,42150,50,50130,42,42210,5,3,5,2,2,6,3,3,서울특별시,광주,나홀로 여행,2022-08-12~2022-08-14,1,2,,3
c009026,46,여,60,7,1,2,1,2,,5,,2,1,45,45110,48,48310,42,42210,1,2,1,2,1,2,2,7,전라남도,전남,나홀로 여행,2022-10-25~2022-10-25,7,1,4,0
c012568,41,여,40,6,4,2,4,11,,1,5,3,4,42,42150,50,50110,45,45110,4,2,2,2,3,6,6,6,경기도,전남,자녀 동반 여행,2022-11-05~2022-11-06,3,7,1,3
c008914,43,남,50,6,1,2,2,1,,8,9,3,4,50,50130,46,46130,44,44825,2,3,2,4,3,2,6,3,충청북도,충남,2인 가족 여행,2022-10-28~2022-10-28,3,2,1,1
