COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,a_a007483,8,2,3,1
3,a_a004539,2,2,2,1
3,a_a000386,2,2,3,1
1,a_a018023,7,1,3,3
1,a_a004780,8,2,4,1
2,a_a002978,7,2,4,1
2,a_a000535,2,2,1,1
1,a_a000454,1,1,4,1
1,a_a002564,7,2,4,1
3,a_a007583,2,2,1,1
1,a_a007258,8,2,4,1
3,a_a008110,2,1,1,1
1,a_a000503,2,1,1,1
3,a_a014238,2,1,1,1
2,a_a006870,2,1,2,1
1,a_a003871,2,2,3,1
2,a_a004417,7,1,3,1
1,a_a001170,8,1,3,1
2,a_a000740,7,2,4,3
3,a_a001065,6,2,1,1
3,a_a017992,6,1,1,1
2,a_a005409,2,2,1,1
2,a_a006566,6,2,1,1
3,a_a000729,2,2,1,1
1,a_a000956,6,2,3,3
1,a_a012452,8,1,4,1
2,a_a006134,2,2,2,1
2,a_a002650,1,2,8,1
1,a_a006321,1,2,3,1
1,a_a017828,1,2,4,1
3,a_a005320,3,2,7,1
2,a_a017992,2,2,1,1
2,a_a017926,2,1,2,1
1,a_a002530,7,2,3,3
1,a_a011368,7,2,4,1
3,a_a003782,2,1,1,1
2,a_a000901,2,2,3,1
2,a_a005189,2,1,2,1
5,a_a000011,6,2,4,1
1,a_a017486,1,2,5,1
1,a_a004999,8,1,4,1
2,a_a005924,2,1,1,1
3,a_a002008,7,1,3,1
6,a_a004811,7,2,4,1
1,a_a003188,8,1,3,1
3,a_a003093,7,2,3,1
1,a_a014243,1,1,5,1
3,a_a000014,6,2,7,3
3,a_a002279,5,2,4,1
1,a_a004042,1,1,4,1
1,b_b007934,2,2,1,1
3,a_a000011,6,1,3,1
2,a_a007429,7,2,4,3
1,a_a002275,8,2,4,1
3,a_a017681,7,2,3,1
2,a_a017681,7,2,3,1
5,c_c003912,2,2,1,1
1,a_a003169,1,2,5,1
1,a_a006796,8,1,3,1
1,a_a002280,8,1,4,1
1,a_a007385,8,1,3,1
1,a_a017962,3,2,6,1
1,b_b011628,1,1,5,1
1,a_a006279,8,1,4,1
2,a_a006358,7,2,3,1
2,a_a017935,2,2,1,1
2,c_c002983,2,1,1,1
2,a_a001167,2,2,2,1
3,a_a001756,6,1,1,1
1,a_a005052,7,2,3,3
1,a_a005170,1,2,4,1
1,a_a000074,2,2,2,1
1,a_a014196,1,1,5,1
3,a_a000018,2,1,1,1
10,a_a007415,10,2,4,3
1,a_a000784,1,1,6,1
2,a_a000911,2,2,4,1
1,a_a003286,8,1,3,3
1,a_a018225,1,2,7,1
1,c_c000877,7,1,3,3
1,a_a004909,1,1,4,1
3,a_a004679,2,2,2,1
1,a_a004922,7,1,4,1
1,a_a005785,5,2,5,1
8,a_a003581,5,2,5,2
2,a_a017994,2,1,1,1
2,a_a015261,2,1,1,1
2,a_a015694,2,1,2,1
3,a_a015333,7,2,5,1
1,a_a002381,8,2,3,1
1,a_a005392,6,1,6,1
1,a_a012058,1,1,4,1
2,a_a006009,2,1,1,1
1,a_a004810,1,1,7,1
3,a_a000454,2,2,1,1
1,a_a008092,1,2,4,1
1,a_a011190,8,2,3,1
1,a_a002652,8,1,4,1
7,a_a000318,7,1,4,3
1,a_a014206,7,2,3,1
1,a_a003346,1,1,5,1
3,a_a005520,9,1,3,1
1,a_a005654,7,2,4,1
1,a_a003798,8,1,3,3
3,a_a000163,7,1,3,1
1,a_a003961,8,1,3,1
1,a_a003823,1,2,5,1
1,a_a005993,2,2,2,1
3,a_a003672,2,2,1,1
1,a_a002666,1,1,5,1
1,b_b011114,2,1,2,1
1,a_a017687,1,1,6,1
1,a_a018136,7,2,3,3
3,a_a003694,11,2,2,1
1,a_a014920,1,1,5,1
1,a_a000290,7,2,3,3
1,a_a005158,1,1,4,1
1,a_a017667,1,2,3,1
1,a_a000147,9,2,4,1
1,a_a000633,1,1,4,1
2,a_a000030,7,1,3,1
1,a_a006743,8,1,3,1
1,a_a001382,1,1,4,1
1,a_a007241,2,1,4,1
8,a_a000556,11,2,2,3
1,a_a002032,8,1,4,1
1,a_a006582,8,1,4,1
2,a_a000369,2,1,1,1
2,a_a001293,7,2,3,3
3,a_a001280,9,2,3,1
1,a_a006270,7,2,3,1
3,a_a017994,2,1,1,1
1,c_c002786,1,2,4,1
1,a_a004168,8,2,4,1
1,a_a006299,1,2,5,1
1,a_a005184,1,2,6,1
1,a_a005334,8,2,3,1
1,a_a002713,1,1,5,1
1,a_a001548,8,2,4,2
3,c_c000580,6,1,6,1
2,a_a002051,2,1,1,1
1,a_a005845,7,1,3,1
1,a_a017842,7,1,7,2
2,a_a004679,2,1,2,1
1,a_a010136,1,2,6,1
2,a_a003020,2,1,1,1
1,a_a009730,7,2,4,1
2,a_a000503,11,2,4,3
1,a_a002543,1,1,4,1
1,a_a001405,8,1,4,1
1,a_a008116,5,1,5,1
2,a_a006081,2,1,1,1
1,a_a010415,7,2,4,3
1,a_a011463,6,2,3,1
1,a_a001070,8,2,4,1
11,c_c003316,10,2,6,1
1,a_a004557,1,1,3,1
1,a_a007436,8,2,4,1
1,a_a008715,8,2,3,3
1,a_a004296,1,2,5,1
1,a_a001659,8,2,3,1
1,a_a018012,8,1,4,1
2,a_a000399,7,1,3,3
1,a_a012402,1,2,5,1
3,a_a000933,9,1,3,1
3,a_a000636,6,1,2,1
1,a_a001713,1,1,6,1
3,a_a007159,2,1,1,1
2,a_a001219,2,2,1,1
2,a_a008059,2,1,1,1
3,a_a017927,7,2,4,1
2,a_a010425,2,1,1,1
1,a_a009903,8,2,4,3
4,a_a003441,6,1,1,1
1,a_a000082,8,2,4,1
1,a_a007602,1,1,5,1
2,a_a011090,2,2,4,1
2,a_a001625,2,2,1,1
13,a_a006638,10,1,2,1
1,a_a004387,8,1,4,1
2,a_a003291,2,2,3,1
3,a_a009584,2,1,1,1
4,a_a006448,2,1,1,1
2,a_a003285,7,2,4,1
3,a_a017926,2,1,1,1
2,a_a017871,2,1,1,1
