TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
d_d010134,2211010009,1,0,,초밥,N,1,
d_d001854,2209300002,3,1,,돌 스냅 촬영,Y,1,1
d_d001485,2209170010,2,2,,엽서,N,5,
d_d001934,2210050008,7,1,,,,,
d_d006977,2210230005,4,0,,,,,
d_d002225,2210030006,2,2,,스파클라;라이터,N,1,
d_d002734,2210040009,2,1,,테라500ml병;양념조청순살닭강정;불꽃오징어튀김,N,1,
d_d000179,2208190002,1,0,,갈치조림;해물뚝배기,N,1,
d_d006985,2210260009,5,0,,,,,
d_d002599,2210010008,7,0,,,,,
d_d009122,2210290002,1,0,,라면 김밥 토스트 오뎅,N,1,
d_d001457,2209270011,5,0,,,,,
d_d002490,2210080005,99,0,,,,,
d_d009696,2211050004,3,0,,미로탈출;고양이구경,N,1,2
d_d007735,2210300006,4,0,,,,,
d_d012263,2211050006,4,0,,,,,
d_d002101,2210090001,5,1,,,,,
a_a002179,2209150007,5,1,,,,,
d_d001356,2209280003,5,1,,,,,
d_d003845,2210290004,4,0,,,,,
d_d010676,2211050001,1,0,,아이스아메리카노,Y,1,
d_d001630,2210040002,7,1,,,,,
d_d001454,2209200002,1,0,,삼겹살,N,4,
d_d004375,2210130003,1,0,,큐브스테이크덮밥,N,1,
d_d002638,2210010004,7,0,,,,,
d_d001737,2209280008,1,1,,(본 식당 건물 2층으로 영수증을 들고가면 음료를 무료로 제공해줌) 아샷추;매실차,N,4,
d_d000872,2208240008,2,0,,탱크보이,N,1,
d_d002009,2209290011,1,0,,로스까스 히레까스,N,1,
b_b004339,2210020004,5,4,,,,,
d_d000265,2208290009,1,0,,고등어구이;전복솥밥,N,1,
d_d001444,2209270002,4,0,,,,,
c_c000227,2208120002,2,1,,김밥,N,1,
d_d002137,2209290006,1,0,,우도땅콩아이스크림;청귤에이드,N,1,
d_d000591,2208290002,1,1,,돈까스 커피 케잌,N,1,
d_d004418,2210120002,5,1,,,,,
d_d006021,2210300004,5,1,,,,,
d_d000159,2208140005,5,0,,,,,
