TRAVEL_ID,MVMN_SE,PAYMENT_SE,PAYMENT_SEQ,MVMN_SE_NM,PAYMENT_NUM,BRNO,STORE_NM,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b004830,4,교통비,1,택시,3,,,2022-10-03 00:00:00.000,1,13320,택시비
b_b007692,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,4000,
b_b000439,1,주유비,0,자가용(승용/승합/트럭 등등),1,,,,,138300,
b_b018634,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,30000,
b_b013718,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,1900,
b_b003125,7,교통비,0,KTX/SRT(고속열차),2,,,,,215200,기차표 어른1매
b_b008545,50,교통비,0,버스 + 지하철,1,,,,,12500,
b_b002533,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,80000,
b_b006743,13,교통비,13,시내/마을버스,1,,버스 701,,4,1950,버스비
b_b005010,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,26000,
b_b002078,1,주차비,11,자가용(승용/승합/트럭 등등),2,2268267614,강릉중앙시장상인회,2022-08-27 21:20:00.000,1,500,주차비
b_b006797,8,교통비,1,새마을/무궁화열차,1,3148210024,한국철도공사,2022-10-09 22:45:00.000,1,9700,기차표 
b_b004503,2,렌탈비,1,렌터카(승용/승합/버스 등등),4,,,2022-09-23 12:47:00.000,1,111500,차량렌트비
b_b000625,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,22000,
b_b002098,1,주유비,0,자가용(승용/승합/트럭 등등),7,,,,,33000,
b_b011320,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,3000,
b_b001949,50,교통비,0,버스 + 지하철,2,,,,,3700,
b_b015102,1,주차비,0,자가용(승용/승합/트럭 등등),1,,,,,10000,
b_b004617,1,주차비,0,자가용(승용/승합/트럭 등등),4,,,,,8000,
b_b010240,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,35000,
b_b004051,1,통행료,0,자가용(승용/승합/트럭 등등),4,,,,,37000,
b_b006270,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,11400,
b_b014368,7,교통비,0,KTX/SRT(고속열차),1,,,,,54500,기차표
b_b000871,1,주유비,0,자가용(승용/승합/트럭 등등),2,,,,,108400,
b_b000761,1,통행료,0,자가용(승용/승합/트럭 등등),2,,,,,7800,
