TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
a_a010290,와우호텔,1,1,Y,2022-10-30 00:00:00.000,2022-10-31 00:00:00.000,2,,잠실 와우,서울 송파구 오금로11길 7-10,서울 송파구 방이동 24-2,4169374,1171011100,2022-10-25 13:34:00.000,1,50000,스탠다드 도보전용(넷플릭스 이용가능 + 노하드 커플PC +헤드셋제공.차량이용불가)
a_a002091,나인트리프리미어호텔 서울판교,0,1,Y,2022-09-17 00:00:00.000,2022-09-18 00:00:00.000,3,,,경기 성남시 수정구 창업로 18,경기 성남시 수정구 시흥동 288-11,,,,1,129000,
a_a004019,라마다 호텔 인천,10,1,,,,2,,라마다 호텔 인천,소래역로12,,,,,1,26000,호텔비
a_a000990,소테츠프레사 인서울명동,1,1,Y,2022-08-27 00:00:00.000,2022-08-29 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-08-17 00:00:00.000,1,163000,소테츠 프레사인 서울 명동
a_a002458,호텔디엠,1,1,Y,2022-09-23 00:00:00.000,2022-09-24 00:00:00.000,3,2208742885,(주)야놀자,,,,,2022-09-19 19:51:00.000,1,100000,호텔DM
a_a001349,머큐어 앰배서더 서울 홍대,0,1,Y,2022-08-24 00:00:00.000,2022-08-25 00:00:00.000,2,,,서울 마포구 양화로 144,서울 마포구 동교동 162-5,,,,1,173300,
a_a004089,실로암연수원펜션,3,3,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,2,,999-중복,,,,,2022-10-02 10:02:00.000,1,89900,(별관)206 a0040890020000001
a_a002672,빌라노빌레,0,3,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,2,,,강원 춘천시 남산면 서천길 103-1,강원 춘천시 남산면 서천리 326-14,,,,5,255000,
c_c003316,한화리조트 산정호수안시,1,4,Y,2022-10-07 00:00:00.000,2022-10-08 00:00:00.000,10,1018130747,한화호텔앤드리조트(주),경기 포천시 영북면 산정호수로 402,경기 포천시 영북면 산정리 454-4,3213016,4165039023,2022-10-08 09:35:00.000,1,309000,
a_a005006,히든펜션,0,3,Y,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,6,,,경기 안산시 단원구 대호1길 19,,,,,1,320000,
