TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d009620,50,남,30,6,1,2,3,3,,5,6,2,1,11,11680,11,11230,42,42150,2,1,1,1,7,7,1,7,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-29~2022-10-30,6,1,3,2
d010667,26,여,20,6,3,1,4,12,,2,7,3,4,26,26710,11,11710,31,31140,2,2,2,2,2,2,7,3,부산광역시,제주,2인 여행(가족 외),2022-10-30~2022-11-02,3,9,2,1
d004187,50,여,30,7,4,2,4,3,,1,8,3,5,11,11710,50,50130,11,11110,1,4,1,1,7,4,1,6,제주특별자치도,도서 지역,3인 이상 여행(가족 외),2022-10-15~2022-10-16,7,1,8,3
d012305,50,남,30,5,1,1,2,4,,2,2,2,2,50,50130,50,50110,11,11410,1,1,1,5,1,2,6,2,제주특별자치도,제주,2인 여행(가족 외),2022-11-13~2022-11-13,2,1,6,1
d006824,50,남,20,6,1,1,1,2,,4,,2,6,50,50110,50,50130,11,11680,4,7,3,4,3,4,3,5,제주특별자치도,제주,나홀로 여행,2022-10-29~2022-10-30,2,1,7,0
d000084,41,남,40,6,1,1,1,4,,4,,2,2,50,50130,42,42820,42,42150,3,3,4,3,5,4,2,4,경기도,제주,3인 이상 여행(가족 외),2022-08-13~2022-08-16,10,1,3,10
d001470,41,여,30,7,5,2,2,2,,5,9,3,2,50,50110,26,26350,46,46130,4,3,2,4,2,4,6,1,경기도,제주,나홀로 여행,2022-09-18~2022-09-21,1,2,7,0
d007179,50,남,30,7,5,1,1,2,,8,,3,6,50,50130,11,11140,26,26350,4,4,2,2,4,4,1,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-22~2022-10-23,1,2,3,1
d001516,27,여,40,5,4,2,5,5,,7,7,2,2,47,47230,47,47190,47,47830,1,3,1,5,4,2,7,3,대구광역시,제주,나홀로 여행,2022-09-18~2022-09-19,7,6,4,0
d000299,41,여,40,6,1,2,3,3,,7,7,3,5,42,42170,50,50130,42,42720,6,1,6,1,1,6,2,6,경기도,제주,자녀 동반 여행,2022-08-29~2022-08-31,5,3,2,2
b000022,11,남,40,8,1,2,4,3,,7,7,3,6,41,41820,42,42210,48,48310,4,1,3,1,1,4,2,5,서울특별시,경남,자녀 동반 여행,2022-08-13~2022-08-15,2,3,7,3
d007942,11,여,40,6,1,2,4,13,,2,7,2,2,42,42210,41,41820,30,30200,4,3,2,3,3,5,1,7,서울특별시,제주,나홀로 여행,2022-10-28~2022-10-30,2,1,4,1
d003062,50,여,40,7,2,1,1,1,,8,,2,1,50,50130,50,50110,42,42150,2,1,2,1,1,3,2,7,제주특별자치도,제주,나홀로 여행,2022-10-04~2022-10-05,6,2,1,0
d000962,11,남,30,7,1,2,2,2,,5,8,3,3,42,42760,50,50130,50,50110,4,1,2,1,2,2,3,5,서울특별시,제주,3인 이상 여행(가족 외),2022-08-26~2022-08-29,3,2,6,3
d000863,28,여,20,6,1,1,5,2,,5,12,2,1,50,50110,26,26350,42,42150,7,2,2,1,3,6,1,6,인천광역시,제주,2인 여행(가족 외),2022-08-25~2022-08-28,2,1,3,1
d008211,11,여,20,6,1,1,1,3,,4,,3,2,50,50130,26,26350,42,42150,4,2,2,6,4,4,6,6,서울특별시,제주,나홀로 여행,2022-10-30~2022-11-02,2,5,1,0
c005613,11,여,60,4,1,2,3,4,,3,8,3,5,50,50130,26,26710,45,45790,3,2,3,3,3,3,2,6,서울특별시,전북,나홀로 여행,2022-10-22~2022-10-23,4,2,1,0
a004840,11,남,30,6,1,1,1,2,,6,,3,4,50,50130,26,26350,42,42150,6,1,3,2,3,5,2,6,서울특별시,인천,2인 여행(가족 외),2022-10-21~2022-10-22,3,1,2,1
d001649,11,여,20,5,5,1,1,3,,4,,3,2,50,50130,26,26350,42,42150,4,2,1,2,2,4,4,6,서울특별시,제주,3대 동반 여행(친척 포함),2022-09-26~2022-09-28,9,2,3,3
d002873,50,남,40,5,3,4,3,8,,4,4,2,1,50,50130,50,50110,11,11710,1,7,2,6,4,2,2,2,서울특별시,제주,자녀 동반 여행,2022-10-10~2022-10-10,3,2,,2
d010328,46,여,20,6,2,1,1,12,,3,,3,4,42,42150,26,26500,11,11680,6,1,3,3,5,6,6,3,전라남도,제주,2인 여행(가족 외),2022-10-31~2022-11-03,2,1,3,1
d010103,43,남,30,5,1,1,2,2,,4,4,3,3,50,50130,26,26350,46,46130,4,2,3,3,4,5,2,4,충청북도,제주,2인 여행(가족 외),2022-10-31~2022-11-04,3,2,,1
d000639,29,남,40,8,1,2,4,2,,5,8,2,1,46,46710,46,46720,41,41460,4,2,2,1,6,7,6,3,광주광역시,제주,부모 동반 여행,2022-08-20~2022-08-22,9,3,2,9
d001551,50,남,30,4,1,1,2,8,,4,6,3,1,50,50110,50,50130,42,42150,1,4,1,5,5,1,6,4,제주특별자치도,제주,나홀로 여행,2022-10-03~2022-10-03,1,6,7,0
d005232,11,여,20,5,1,1,2,2,,4,4,2,1,50,50130,42,42820,47,47170,2,2,1,2,6,4,2,6,서울특별시,제주,나홀로 여행,2022-10-12~2022-10-12,4,2,,1
d009467,11,여,20,6,1,1,3,2,,4,8,3,4,11,11680,27,27290,26,26320,2,3,2,5,2,2,3,3,서울특별시,제주,2인 여행(가족 외),2022-10-29~2022-10-31,3,7,2,1
d012360,50,남,20,5,1,1,1,4,,4,,2,1,50,50110,26,26350,46,46130,2,2,1,1,2,6,6,7,제주특별자치도,제주,2인 여행(가족 외),2022-11-09~2022-11-09,3,2,1,1
d006120,50,여,20,4,1,1,4,12,,1,9,2,1,42,42830,11,11110,42,42110,3,2,2,6,2,1,6,2,제주특별자치도,제주,2인 여행(가족 외),2022-10-21~2022-10-22,3,2,1,1
b002109,11,여,30,6,1,1,1,3,,3,,2,1,48,48220,26,26350,27,27110,1,1,3,2,5,5,7,7,서울특별시,경남,3인 이상 여행(가족 외),2022-08-20~2022-08-21,3,,,5
d000012,11,여,30,6,1,1,1,3,,5,,2,2,50,50130,50,50110,42,42820,1,1,5,1,4,1,2,2,서울특별시,제주,2인 여행(가족 외),2022-08-18~2022-08-21,3,2,1,1
c002761,27,남,30,6,1,2,2,3,,5,7,3,4,47,47130,50,50110,26,26710,2,2,2,1,4,2,2,6,대구광역시,전남,2인 여행(가족 외),2022-09-22~2022-09-24,3,9,4,1
d000983,11,남,30,6,1,2,2,3,,6,9,3,3,50,50130,42,42150,41,41820,6,1,4,2,3,4,4,6,서울특별시,제주,2인 가족 여행,2022-09-01~2022-09-04,3,2,1,1
b002795,11,여,20,6,1,1,4,2,,4,10,3,5,50,50110,50,50130,42,42150,3,2,2,2,5,3,6,6,서울특별시,경남,3인 이상 여행(가족 외),2022-08-27~2022-08-29,3,2,5,3
b015453,47,여,40,4,1,2,4,11,,2,6,2,3,42,42150,47,47730,50,50110,1,1,1,4,4,4,7,5,경상북도,인천,자녀 동반 여행,2022-10-28~2022-10-30,7,3,9,3
d007968,50,남,40,7,1,2,5,4,,4,6,2,1,50,50130,50,50110,47,47280,1,4,2,6,2,2,5,6,제주특별자치도,제주,자녀 동반 여행,2022-11-04~2022-11-06,2,3,10,4
d006123,50,여,40,7,5,1,2,4,,3,5,2,3,42,42230,46,46110,47,47130,3,3,1,5,5,2,6,1,제주특별자치도,제주,나홀로 여행,2022-10-23~2022-10-24,1,2,4,1
a001343,41,여,30,6,1,1,3,3,,3,12,2,1,50,50110,42,42210,28,28710,1,1,1,1,1,1,7,2,경기도,경기,나홀로 여행,2022-09-03~2022-09-04,4,1,2,0
d000160,29,남,40,6,4,2,4,3,,5,8,2,2,11,11110,26,26350,46,46710,4,1,1,3,4,4,4,1,광주광역시,제주,자녀 동반 여행,2022-08-12~2022-08-15,1,3,2,3
d010211,11,여,20,6,1,1,1,3,,4,,2,1,50,50110,26,26350,42,42150,2,2,2,3,3,4,3,4,서울특별시,제주,2인 여행(가족 외),2022-10-29~2022-10-31,2,1,3,1
d001800,11,여,30,7,1,1,5,2,,5,10,3,5,50,50130,42,42780,26,26200,2,3,1,4,3,2,6,2,서울특별시,제주,부모 동반 여행,2022-09-30~2022-10-03,2,1,,4
c003050,11,여,30,6,1,2,3,3,,6,11,2,1,42,42830,50,50110,41,41650,1,2,1,4,6,4,5,5,서울특별시,충남,자녀 동반 여행,2022-09-30~2022-10-02,8,1,3,2
a015790,11,여,20,6,2,1,5,12,,2,9,3,2,11,11680,41,41110,28,28710,3,2,3,5,2,7,6,2,서울특별시,인천,나홀로 여행,2022-11-03~2022-11-04,1,2,4,0
