TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
c_c012243,수페23,0,3,Y,2022-10-29 00:00:00.000,2022-10-30 00:00:00.000,2,,,충북 제천시 수산면 옥순봉로6길 39-1,충북 제천시 수산면 하천리 2-3,,,,4,270000,
c_c002859,그림속여유,1,6,Y,2022-10-02 00:00:00.000,2022-10-03 00:00:00.000,3,7428600224,(주)위드이노베이션,서울 강남구 봉은사로 479,,3122004,1168010500,2022-09-20 22:04:00.000,1,65000,GU-들
c_c000373,소노문 단양,1,4,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,3,,NAVER FINANCIAL,,,,,2022-07-27 00:00:00.000,1,249000,SUMMER_ALL INCLUSIVE(패밀리취사)
c_c001615,하이스트빌아파트,1,11,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,2,,에어비앤비,,,,,2022-08-10 10:16:00.000,1,70915,"GALMA 1-DONG,SEO-GU 집/아파트 전체 렌트비"
c_c006566,여수유탑유블레스,1,11,Y,2022-10-15 00:00:00.000,2022-10-16 00:00:00.000,2,,AIRBNB,,,,,2022-09-14 00:00:00.000,1,127082,집/아파트 전체. 침대1개 게스트2명
c_c000744,달돋이마을,0,3,Y,2022-08-26 00:00:00.000,2022-08-27 00:00:00.000,4,,,전남 장성군 북이면 오작로 384,전남 장성군 북이면 조양리 90,,,,5,140000,
c_c001178,부여파크아트빌라스,1,3,Y,2022-08-28 00:00:00.000,2022-08-29 00:00:00.000,5,5248601528,네이버파이낸셜 주식회사,경기 성남시 분당구 불정로 6,경기 성남시 분당구 정자동 178-1,3180030,4113510300,2022-08-05 13:06:00.000,1,154000,
c_c006536,청풍호반 오토캠핑장,0,5,Y,2022-10-16 00:00:00.000,2022-10-17 00:00:00.000,2,,,충북 제천시 청풍면 용곡길211번길 2,충북 제천시 청풍면 용곡리 681,,,,5,50000,
c_c002097,호텔더반트,1,1,Y,2022-09-24 00:00:00.000,2022-09-25 00:00:00.000,2,2208742885,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713,1168010600,2022-09-19 16:13:00.000,1,64000,청주 무인호텔 더 반트
c_c001426,호텔마루 단양,1,1,Y,2022-08-22 00:00:00.000,2022-08-23 00:00:00.000,1,2208115770,나이스정보통신㈜,,,,,2022-08-19 00:00:00.000,1,80189,DANYANG HOTEL MARU DANYANG SWEET-RIVERVIEW
