COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,b_b015012,8,2,4,3
1,b_b005173,1,1,7,1
1,b_b000198,1,2,6,1
1,d_d002966,7,2,3,1
1,b_b003482,7,1,5,1
1,b_b018594,9,1,5,3
1,b_b001809,1,2,5,1
2,b_b000999,2,2,1,1
2,b_b001475,7,2,3,1
1,b_b015721,8,1,3,1
1,b_b010804,8,2,3,3
9,b_b011527,10,2,5,1
1,b_b002067,1,2,5,1
1,b_b008421,7,2,3,1
1,b_b009810,8,2,3,1
1,b_b015967,1,2,4,1
1,b_b007519,8,1,3,1
5,b_b000466,11,2,4,2
1,b_b006201,8,1,5,1
11,b_b000041,10,2,4,3
1,b_b001386,8,1,4,1
2,b_b010316,6,1,5,1
1,b_b015429,7,2,3,3
5,b_b007736,11,2,1,3
1,b_b004021,2,1,3,1
1,b_b002651,1,1,4,1
3,b_b001740,5,1,3,1
8,b_b000536,7,1,4,1
1,b_b001741,8,1,4,1
2,b_b009291,10,1,4,1
1,b_b014411,1,1,4,1
2,b_b009457,10,2,5,1
2,b_b014711,5,2,3,1
1,b_b007495,1,2,4,1
4,b_b004752,2,2,1,1
1,b_b000323,3,2,8,2
5,b_b000157,11,1,4,1
1,b_b006727,1,1,4,1
3,b_b015565,7,2,3,1
2,b_b004240,2,1,2,1
1,b_b005000,5,2,4,2
2,b_b009325,3,2,8,1
1,b_b010764,1,2,4,1
2,b_b011815,2,1,1,1
1,b_b006795,5,2,3,1
1,b_b010740,1,1,5,1
1,b_b011048,1,1,4,1
3,b_b000463,5,2,3,1
1,b_b011864,1,1,5,1
1,b_b007108,8,2,4,1
1,b_b013770,8,2,3,1
1,b_b001444,7,2,3,1
1,b_b002932,1,1,7,1
2,b_b000241,2,2,1,1
4,b_b015470,7,1,3,1
1,b_b000806,7,1,5,1
1,b_b004672,7,2,4,1
1,b_b006834,2,2,2,1
1,b_b003879,9,1,4,1
1,b_b011036,7,2,5,1
3,b_b000594,2,2,2,1
3,b_b012483,2,2,1,1
1,b_b015909,1,1,4,1
7,b_b001889,11,1,1,3
1,b_b010118,1,2,4,1
1,b_b009271,10,1,6,1
1,b_b004095,7,2,3,1
1,b_b000409,7,1,4,1
8,b_b003482,7,2,5,2
1,b_b006468,8,2,3,1
1,b_b013717,1,1,4,1
1,b_b007044,1,2,4,1
1,b_b005704,8,2,3,1
2,b_b000670,2,2,4,1
2,b_b008561,7,2,4,1
