TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
c_c005544,D02,c005544,21;22;25;26;8;,2022-10-09,2022-10-11,자가용,,21;22;25;26;8;,8;25;24
d_d004905,D01,d004905,1;28;2;4;7;22;5;9;5;,2022-10-12,2022-10-16,대중교통 등,,1;28;2;4;7;22;5;9;5;,28;21;3
d_d009053,D01,d009053,22;2;10;11;23;,2022-10-29,2022-10-31,자가용,,22;2;10;11;23;,2;11;23
d_d006980,D01,d006980,1;2;5;7;22;21;,2022-10-29,2022-11-01,대중교통 등,,1;2;5;7;22;21;,21;22;28
d_d001207,D01,d001207,21;22;24;5;6;,2022-09-14,2022-09-18,자가용,,21;22;24;5;6;,21;22;12
b_b008080,D02,b008080,1;2;21;22;4;,2022-10-22,2022-10-24,대중교통 등,,1;2;21;22;4;,5;1;4
d_d000666,D01,d000666,1;2;3;4;6;,2022-09-02,2022-09-06,대중교통 등,39세 이하 부부 여행,1;2;3;4;6;,1;6;23
d_d000701,D01,d000701,12;2;21;23;6;,2022-09-01,2022-09-05,대중교통 등,40세 이상 3대 동반 여행,12;2;21;23;6;,23;21;12
d_d006339,D01,d006339,21;22;,2022-10-28,2022-10-30,자가용,,21;22;,22;21;26
d_d000352,D01,d000352,1;2;22;5;7;,2022-08-24,2022-08-28,자가용,39세 이하 커플 여행,1;2;22;5;7;,5;7;22
d_d007441,D02,d007441,11;22;24;28;5;,2022-10-22,2022-10-24,대중교통 등,,11;22;24;28;5;,3;24;27
d_d001166,D01,d001166,21;22;3;,2022-09-18,2022-09-20,대중교통 등,,21;22;3;,21;22;3
d_d012439,D01,d012439,10;,2022-11-12,2022-11-13,,,10;,3;10;13
d_d007081,D01,d007081,2;3;4;1;6;23;10;11;13;22;24;12;,2022-10-24,2022-10-26,자가용,,2;3;4;1;6;23;10;11;13;22;24;12;,2;13;12
d_d000268,D01,d000268,1;11;3;5;6;,2022-08-23,2022-08-27,대중교통 등,40세 이상 자녀 동반 여행,1;11;3;5;6;,27;5;3
d_d003586,D01,d003586,22;23;24;28;,2022-10-09,2022-10-11,자가용,,22;23;24;28;,1;6;23
d_d002861,D01,d002861,11;22;4;6;9;,2022-10-05,2022-10-08,대중교통 등,39세 이하 자녀 동반 여행,11;22;4;6;9;,26;6;23
d_d005501,D01,d005501,21;23;6;,2022-10-25,2022-10-28,자가용,40세 이상 3인 이상 친구,21;23;6;,21;27;23
d_d001389,D01,d001389,2;22;26;,2022-09-22,2022-09-25,자가용,39세 이하 자녀 동반 여행,2;22;26;,21;22;2
d_d003609,D01,d003609,1;21;22;23;26;,2022-10-08,2022-10-10,자가용,,1;21;22;23;26;,1;21;23
d_d003453,D01,d003453,2;21;24;5;6;,2022-10-25,2022-10-27,대중교통 등,,2;21;24;5;6;,2;4;22
d_d002739,D01,d002739,23;2;5;22;26;1;24;21;,2022-10-25,2022-10-29,대중교통 등,,23;2;5;22;26;1;24;21;,2;23;5
d_d009153,D01,d009153,1;27;28;3;9;,2022-11-04,2022-11-06,자가용,,1;27;28;3;9;,1;3;22
d_d000243,D01,d000243,1;22;28;,2022-08-17,2022-08-20,대중교통 등,,1;22;28;,28;1;26
d_d006998,D01,d006998,8;22;,2022-10-21,2022-10-24,자가용,,8;22;,1;8;22
d_d001595,D01,d001595,21;23;26;28;,2022-09-22,2022-09-25,대중교통 등,,21;23;26;28;,21;23;22
d_d002965,D01,d002965,22;28;6;,2022-10-22,2022-10-24,자가용,,22;28;6;,28;22;6
d_d010419,D01,d010419,3;,2022-11-04,2022-11-07,대중교통 등,,3;,1;2;3
d_d004284,D01,d004284,1;11;2;3;8;,2022-10-26,2022-10-29,자가용,,1;11;2;3;8;,8;9;11
d_d000226,D01,d000226,1;22;26;7;,2022-08-19,2022-08-22,대중교통 등,39세 이하 커플 여행,1;22;26;7;,22;1;7
d_d002494,D01,d002494,12;2;3;5;6;,2022-10-27,2022-10-30,대중교통 등,39세 이하 자녀 동반 여행,12;2;3;5;6;,2;22;5
d_d007433,D01,d007433,22;23;24;,2022-10-29,2022-10-31,자가용,,22;23;24;,22;24;23
d_d008018,D01,d008018,1;22;27;5;7;,2022-10-27,2022-11-01,자가용,,1;22;27;5;7;,23;22;27
d_d001368,D01,d001368,22;,2022-09-22,2022-09-26,대중교통 등,,22;,4;5;23
d_d002495,D01,d002495,1;11;2;22;23;,2022-10-14,2022-10-17,대중교통 등,,1;11;2;22;23;,2;22;23
d_d001418,D01,d001418,1;22;26;5;7;,2022-09-22,2022-09-29,대중교통 등,,1;22;26;5;7;,5;22;26
d_d010127,D01,d010127,22;,2022-11-03,2022-11-07,대중교통 등,,22;,22;6;5
d_d009068,D01,d009068,2;28;,2022-10-28,2022-11-01,대중교통 등,39세 이하 커플 여행,2;28;,21;22;28
d_d005356,D01,d005356,11;22;,2022-10-15,2022-10-16,자가용,,11;22;,22;11;27
d_d001193,D01,d001193,1;22;24;3;6;,2022-09-11,2022-09-15,대중교통 등,,1;22;24;3;6;,3;22;24
d_d000783,D01,d000783,1;2;4;5;7;,2022-08-31,2022-09-03,대중교통 등,,1;2;4;5;7;,6;5;1
c_c008681,D02,c008681,5;,2022-10-22,2022-10-24,자가용,,5;,5;27;24
b_b010046,D02,b010046,2;9;22;,2022-10-21,2022-10-23,자가용,경상권에 거주하는 40세 이상 자녀 동반,2;9;22;,9;2;22
c_c002516,D02,c002516,21;3;5;8;,2022-09-17,2022-09-19,자가용,,21;3;5;8;,21;7;4
c_c004984,D02,c004984,10;11;21;6;23;,2022-10-08,2022-10-10,자가용,,10;11;21;6;23;,10;11;21
d_d004529,D01,d004529,3;4;5;6;7;,2022-10-17,2022-10-22,대중교통 등,,3;4;5;6;7;,26;22;3
d_d009631,D01,d009631,27;28;23;24;21;1;4;2;22;,2022-10-31,2022-11-03,대중교통 등,,27;28;23;24;21;1;4;2;22;,27;2;21
d_d001223,D02,d001223,21;22;24;26;27;,2022-09-10,2022-09-13,자가용,,21;22;24;26;27;,21;24;13
d_d004584,D01,d004584,12;22;7;,2022-10-15,2022-10-18,대중교통 등,39세 이하 부부 여행,12;22;7;,22;12;7
c_c004307,D02,c004307,3;2;26;,2022-10-07,2022-10-09,자가용,,3;2;26;,3;11;26
d_d007384,D01,d007384,2;27;28;4;5;,2022-10-31,2022-11-02,대중교통 등,,2;27;28;4;5;,5;6;23
d_d009126,D01,d009126,1;2;3;4;6;6;6;23;21;22;23;21;22;27;28;,2022-10-29,2022-11-01,대중교통 등,40세 이상 부부 여행,1;2;3;4;6;6;6;23;21;22;23;21;22;27;28;,2;3;21
