TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
a_a002061,2209300006,2,0,,그릭요거트,N,1,
a_a001919,2209250002,5,1,,,,,
a_a001901,2209090003,4,0,,,,,
a_a005625,2210230004,3,0,,선릉;정릉;숲속 산책로;재실 관람,N,1,2
a_a010337,2210210003,5,2,,,,,
a_a010370,2210230003,2,1,,옷걸이,N,1,
a_a012356,2210300006,4,0,,,,,
a_a001187,2208280007,1,0,,김밥,N,1,
a_a000118,2208070006,1,2,,,,4,
a_a004307,2210160006,4,0,,,,,
a_a015098,2210310004,2,0,,렌즈;구두,N,1,
a_a000721,2208210003,1,0,,설렁탕,N,1,
a_a001756,2209090002,2,1,,무주산 스위트 머루와인,N,1,
d_d004088,2210080004,1,0,,햄버거,N,1,
a_a005133,2210090002,2,0,,하늘보리퍼트병 타이레놀 호두과자,N,1,
a_a002681,2210030006,1,0,,글레이즈 몰드패션;아이스 카페라떼,N,1,
a_a015694,2211030003,1,0,,돈까스;산채비빔밥;부추전,N,1,
a_a003235,2210090004,5,0,,,,,
a_a000613,2208220003,1,1,,,,4,
a_a000265,2208160006,1,0,,하이볼 소주 모듬꼬치 볶음요리안주,N,1,
a_a002387,2209180002,1,1,,커피,N,1,
a_a003704,2210100004,4,0,,,,,
a_a002004,2209180006,2,0,,저녁으로 먹을 고기;술;음료;간식 등,N,1,
a_a003370,2209270001,4,0,,,,,
a_a007381,2210210009,4,0,,,,,
a_a003937,2210020002,1,0,,라롬드뺑/팟퐁커리.공기밥.콜라,Y,1,
a_a002458,2209240005,1,4,,롯데프리미엄마트 장보기,N,1,
a_a017667,2211120003,2,0,,유니클로 청바지,N,1,
a_a004712,2210150006,6,2,,사진 촬영(무무필름_홍대),N,1,
a_a000221,2208180004,2,3,,주차비,N,1,
a_a001109,2208270011,2,1,,신발;옷,N,5,
a_a006479,2210200004,4,0,,,,,
a_a004076,2210220001,1,0,,홍익돈까스;고구마치즈롤까스세트,N,1,
a_a002397,2209170005,5,1,,,,,
a_a014858,2211050003,1,0,,mozzarella fior di latte 샐러드;burata 샐러드,N,1,
a_a000491,2208200003,3,4,,카와이이서울 전시회,Y,5,
a_a003605,2210290002,1,1,,토스트;커피,N,1,
a_a001525,2209040015,7,2,,,,,
a_a004395,2210020003,2,0,,식료품,Y,1,
a_a016512,2211020004,2,0,,차킨,N,1,
a_a006260,2210160003,1,0,,녹차프라프치노;치아바타;크로아상,N,1,
a_a006331,2210160006,1,0,,따뜻한 아메리카노;아이스 코코아;서비스 과자,N,1,
a_a007829,2210270003,1,0,,스페셜 마리2 매운까르보나라파스타떡뽁이 모짜렐라치즈갈떡돈가스,N,1,
a_a008372,2210150001,4,1,,,,,
a_a004084,2210090005,1,0,,숯불닭갈비;가평 잣막걸리,N,1,
a_a003397,2209260008,4,0,,,,,
a_a001923,2209200007,4,0,,,,,
a_a008460,2210300004,4,0,,,,,
a_a002759,2210020001,1,1,,,,4,
a_a001902,2209250001,1,0,,스크램블에그;연어;커피;샐러드;과일;빵;시리얼;쥬스;쌀국수;우동;과일,Y,4,
a_a015694,2211040003,3,0,,일제 강점기의 참담함을 다시 보고 확인할수 있었고 감옥;고문기구등을  간접체험 할수 있어 아이들 교육에 있어 매우 유익함,Y,5,1;2
a_a001359,2208270009,1,1,,육회;연어;맥주;사와,N,1,
a_a005832,2210140002,3,0,,염전체험 및 소금놀이;산책,Y,5,1
a_a003082,2209250002,1,0,,나랏님 밥상,N,1,
a_a001471,2208280005,1,1,,고구마 소시지 햇반 오뎅탕 돼지고기 마시멜로우 등,Y,1,
a_a006653,2210080006,1,0,,칼만두 / 비빔국수 세트,N,2,
a_a004712,2210150008,4,1,,,,,
a_a007355,2210230002,4,5,,,,,
a_a006141,2210230003,1,1,,목살된장김치찌개반상(2인세트);떡볶이오징어눈꽃베이컨츠즈핫도그;팝콘;레이보우솜사탕;벌크캔디,N,1,
a_a017280,2211050003,1,0,,와규스페셜세트;공기밥1개;된장찌개1개,N,1,
a_a006344,2210150003,1,0,,새우미싸오;닭고기미싸오;분짜,Y,1,
a_a003020,2209260001,3,7,,한국민속촌입장,Y,5,2
a_a001426,2208270003,1,2,,커피,N,1,
a_a007584,2210290002,3,0,,이중섭 화가의 작품 감상,Y,5,2
a_a003092,2209270006,5,1,,,,,
a_a006232,2210230003,1,0,,이동양념갈비 2인분,N,4,
a_a011434,2210230003,5,1,,,,,
a_a000110,2208280002,2,0,,말차타르트(한판);말차밀크티(캔),N,5,
a_a018109,2211090004,1,0,,솥밥,N,1,
a_a006346,2210150003,3,0,,리움 상설전;상설기획전을 관람하였다. 고미술과 현대미술을 모두 관람하였고;시간들의 서랍 이라는 무료 전시도 관람하였다. 그 이후로는 평이 좋았던 구름산책자 라는 유료 전시를 관람하였고;재방문 의사가 있을만큼 흥미로웠다. 그러나 동행인은 기괴하고 난해한 것을 좋아하지 않기 때문에 오래오래 관람하지 못한 점이 좀 아쉬웠다. 혼자서라도 와서 2시간 정도 관람하고 싶을 정도로 흥미로웠다. 이태원 세계촌 축제로 인해 구름산책자의 입장료를 반값 할인해준 점이 좋았다. 무료 전시는 사전 예약을 하고 와서 더더욱 수월하게 입장할 수 있었다.,Y,1,2
a_a003204,2210190007,4,2,,,,,
a_a012085,2210310004,4,0,,,,,
a_a017996,2211130006,1,0,,오리불고기;오리감자탕;소주;맥주,N,1,
a_a008048,2211020005,1,0,,떡볶이. 튀김,N,1,
a_a015729,2211020011,4,0,,,,,
a_a002401,2209240006,2,0,,회,Y,1,
a_a007685,2210220002,1,6,,맥주,N,1,
a_a009716,2210200005,5,4,,,,,
a_a003844,2210020004,1,0,,초콜릿;핫바 외,N,1,
a_a006260,2210150005,5,0,,,,,
a_a002896,2209230006,5,1,,,,,
a_a014164,2210270003,1,0,,칼국수;파전,N,1,
a_a007890,2210160003,3,5,,화담숲입장. 각종 테마원 관람(이끼원;자작나무숲;소나무정원;핑크뮬리 등),Y,5,2
a_a002642,2209250010,2,0,,빵,N,5,
a_a001978,2209300003,5,2,,,,,
a_a005173,2210020003,2,1,,간의의자,Y,1,
a_a006561,2211020002,2,0,,아이쇼핑(옷;운동화),N,5,
a_a003595,2210150004,4,0,,,,,
a_a008457,2210170002,5,0,,,,,
a_a003827,2210100001,1,0,,샤브샤브. 탕수육,N,1,
a_a012356,2210310005,4,2,,,,,
a_a003139,2209240002,99,2,,,,,
a_a002923,2209240001,4,0,,,,,
a_a007180,2210220007,3,0,,전시관람,N,5,2
a_a002740,2209240001,3,1,,전시회입장하여 조카가 좋아하는 그림 전시관람. 커피숍에 있음,N,5,2
a_a009903,2210280003,7,1,,,,,
a_a010407,2210290005,7,0,,,,,
a_a004537,2210020004,4,1,,,,,
a_a000960,2208210007,1,0,,고기;과일;술;과자;아이스크림케이크 등,Y,1;2;3,
a_a000552,2208210003,1,0,,부리또볼,N,1,
a_a005784,2210280007,2,0,,C포트 충전기 2개,N,1,
a_a007393,2210160008,2,1,,볼펜,N,5,
a_a000181,2208140001,4,1,,,,,
a_a004976,2210080005,1,1,,아메리카노 초코밀크 멜론우유케이크 에그타르트,N,1,
a_a001922,2209180001,2,0,,아이쇼핑-선인장;다육이;레몬나무;난 등 각종 꽃과묘목,N,5,
a_a000396,2209040005,5,0,,,,,
a_a010043,2210290005,1,0,,갈릭 쉬림프 피자;감자튀김;다크에일;IPA 맥주;코젤 다크;바이젠,N,1,
a_a010016,2210220003,99,0,,,,,
a_a006286,2210150003,1,2,,아이스크림,N,1,
a_a018154,2211130003,2,0,,포토앨범,N,5,
a_a000807,2208300007,2,2,,교촌허니콤보 + 웨지감자 + 콜라,N,5,
a_a016159,2211050003,4,0,,,,,
a_a008372,2210170003,7,1,,,,,
a_a006358,2210160004,4,1,,,,,
a_a002681,2210010007,2,0,,옷,N,5,
a_a007523,2210150003,4,2,,,,,
a_a004738,2210010004,1,0,,삼겹살,Y,1,
a_a004171,2210030002,3,1,,아트앤크래프트 미술전,N,5,2
a_a005577,2210100003,5,0,,,,,
a_a002180,2209160005,5,2,,,,,
a_a003234,2210090008,7,1,,,,,
a_a002978,2209250005,1,0,,들깨국수 문어묵은지국수,N,1,
a_a003556,2210090009,1,0,,그린냅 쌈밥(케일쌈밥),N,1,
a_a007456,2210300004,4,0,,,,,
a_a006579,2210220006,4,0,,,,,
a_a002955,2209250004,1,0,,유황생 오리양념-한마리,Y,1,
a_a005665,2210080003,3,0,,백남준 선생 '다다익선' 복원 관련 아카이브 전시 및 원형공원 프로젝트 관람,Y,5,2
a_a015771,2211050003,3,1,,갤러리 방문,N,5,2
a_a008325,2210290005,3,0,,조선 왕자 전 관람,N,5,2
a_a005631,2210090005,1,0,,단팥빵;육쪽마늘빵;커피번;모카빵,N,1,
a_a000958,2208270003,3,0,,카약 탑승,Y,5,
a_a003127,2210010007,5,1,,,,,
