COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,c_c000439,2,1,2,1
3,a_a006465,7,2,3,1
2,c_c001141,2,1,1,1
2,c_c001781,2,1,1,1
1,c_c010865,7,2,3,1
1,c_c014370,8,2,3,1
10,c_c005743,10,2,7,1
1,c_c014418,5,2,3,1
3,c_c003012,2,1,1,1
5,c_c000997,5,2,5,1
4,c_c012197,7,1,4,1
1,c_c013120,3,1,7,1
1,c_c014421,7,2,3,1
2,c_c001270,2,2,1,1
2,c_c001235,7,1,4,3
10,c_c007585,10,2,2,1
1,c_c002703,1,1,5,1
1,c_c002194,1,1,7,1
1,c_c010973,8,1,4,1
1,c_c004075,1,1,5,1
1,c_c006810,8,1,4,1
2,c_c003120,9,1,6,3
1,c_c000489,3,1,6,1
2,c_c003086,7,2,3,2
2,c_c002149,2,2,3,1
1,c_c003007,3,2,7,1
1,c_c007627,8,1,5,3
11,c_c004100,6,2,5,1
2,c_c005408,2,1,2,1
1,c_c006346,2,2,5,1
1,c_c000048,1,2,6,1
2,c_c002536,7,2,3,2
1,c_c000218,1,1,6,1
1,c_c001884,1,1,4,1
1,c_c004363,1,2,5,1
1,c_c002782,7,2,4,3
3,c_c008828,2,2,1,1
2,c_c003026,10,1,7,1
1,c_c005557,8,1,3,1
1,c_c014201,1,2,4,1
2,c_c005257,7,1,3,1
4,c_c007585,2,1,2,1
2,c_c004491,2,1,2,1
1,c_c014148,2,2,4,1
1,c_c004656,1,2,5,1
1,c_c002220,1,2,5,1
1,c_c003552,8,2,3,1
3,c_c001726,7,2,3,1
1,c_c004029,1,2,4,1
5,c_c001221,7,1,4,3
1,c_c007976,8,2,3,1
2,c_c002317,2,2,3,1
1,a_a015147,3,2,8,1
1,c_c014232,8,2,3,3
1,c_c000468,7,2,3,3
3,c_c002024,5,1,3,3
3,c_c004422,2,1,5,1
3,c_c003375,2,1,1,1
2,c_c000620,7,1,4,3
2,c_c004500,2,2,1,1
2,c_c002384,2,2,1,1
4,c_c010047,2,1,1,1
1,c_c004401,1,2,4,1
1,c_c006169,9,1,3,1
1,c_c005890,1,1,4,1
3,c_c010107,5,2,3,1
10,c_c001696,6,2,1,1
1,b_b006134,1,2,6,1
1,c_c013097,1,2,5,1
2,c_c005669,2,1,1,1
1,c_c002826,1,2,4,1
1,c_c010953,1,2,5,1
