TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
b011285,26,남,20,6,2,1,3,12,,2,9,3,10,42,42150,11,11680,50,50130,1,3,1,6,5,4,2,3,부산광역시,경남,나홀로 여행,2022-11-04~2022-11-04,2,6,4,0
b000498,11,남,30,6,1,2,2,4,,4,6,3,4,50,50130,42,42150,46,46130,7,6,2,3,7,5,2,2,서울특별시,강원,2인 가족 여행,2022-08-28~2022-08-31,2,7,1,1
b002662,11,남,30,6,1,1,1,4,,2,,2,2,26,26110,50,50110,42,42210,4,2,1,5,3,3,5,4,서울특별시,부산,나홀로 여행,2022-08-23~2022-08-25,7,1,8,0
b007550,48,여,50,6,1,4,1,4,,2,,3,1,50,50130,46,46710,26,26350,4,4,4,4,4,4,3,5,경상남도,부산,나홀로 여행,2022-10-16~2022-10-16,1,8,5,0
b008186,11,여,30,6,1,1,1,3,,4,,2,2,42,42150,41,41820,28,28710,5,4,4,5,4,4,4,2,서울특별시,강원,2인 여행(가족 외),2022-10-15~2022-10-15,3,4,2,1
b015908,41,여,30,6,1,1,3,3,,5,7,2,1,26,26350,42,42210,46,46710,6,6,5,6,5,6,5,4,경기도,부산,나홀로 여행,2022-11-04~2022-11-04,7,4,2,0
b004651,26,남,30,5,1,1,2,4,,5,5,3,6,47,47130,11,11680,48,48310,4,1,1,4,4,4,5,5,부산광역시,경북,3인 이상 여행(가족 외),2022-09-24~2022-09-25,3,2,1,5
b006266,26,남,40,6,1,2,4,3,,7,7,2,3,26,26710,48,48840,50,50130,2,2,2,2,2,2,3,4,부산광역시,경남,자녀 동반 여행,2022-10-02~2022-10-02,3,1,2,3
b000670,11,여,30,6,1,1,4,4,,4,6,3,3,11,11680,42,42210,42,42150,1,1,1,6,4,3,6,5,서울특별시,강원,부모 동반 여행,2022-08-22~2022-08-24,2,3,1,2
b011021,11,남,50,6,1,2,4,1,,8,12,2,3,42,42210,41,41590,42,42760,1,2,1,6,1,1,1,6,서울특별시,강원,2인 가족 여행,2022-10-29~2022-10-29,3,1,2,1
b011673,11,여,30,6,5,1,4,3,,5,6,3,1,50,50130,41,41360,41,41570,4,2,5,1,7,2,6,2,서울특별시,강원,2인 여행(가족 외),2022-10-31~2022-10-31,3,1,4,1
b007163,11,여,30,6,1,1,3,2,,4,6,3,3,26,26350,42,42230,46,46130,4,2,2,5,4,5,3,2,서울특별시,강원,2인 가족 여행,2022-10-13~2022-10-13,1,3,7,1
b001450,43,남,50,7,1,2,4,3,,7,9,3,4,42,42130,42,42230,43,43130,1,1,4,3,1,3,1,3,충청북도,경북,2인 여행(가족 외),2022-08-27~2022-08-28,1,3,4,1
b000473,11,여,40,6,1,2,3,2,,3,6,3,4,26,26350,41,41460,11,11305,6,4,4,2,3,2,6,4,서울특별시,부산,자녀 동반 여행,2022-08-12~2022-08-14,8,7,1,2
b000259,11,여,30,7,5,1,1,2,,5,,3,8,42,42150,42,42210,50,50110,3,2,4,1,2,3,2,4,서울특별시,경북,3인 이상 여행(가족 외),2022-08-09~2022-08-11,1,2,3,3
b004779,27,여,20,4,1,1,4,3,,5,5,2,1,26,26500,47,47130,50,50130,2,2,2,3,5,6,2,6,대구광역시,경남,부모 동반 여행,2022-09-24~2022-09-24,2,1,3,3
b005336,42,여,20,7,1,2,2,11,,1,4,3,3,42,42820,50,50130,11,11110,2,1,3,2,1,3,4,2,강원도,강원,2인 가족 여행,2022-10-24~2022-10-25,9,3,2,1
b010116,26,남,30,6,1,2,4,1,,4,9,1,1,50,50130,11,11110,47,47130,4,3,2,2,4,2,2,6,부산광역시,대구,자녀 동반 여행,2022-10-20~2022-10-20,3,1,7,2
b008245,26,여,40,6,1,2,3,3,,2,6,2,2,50,50130,42,42760,47,47130,4,4,5,4,4,4,3,5,부산광역시,경남,자녀 동반 여행,2022-10-15~2022-10-15,3,1,7,2
b000642,41,여,30,6,1,1,3,4,,3,3,1,1,42,42150,44,44825,41,41110,2,4,2,4,4,3,5,4,경기도,부산,나홀로 여행,2022-08-19~2022-08-22,2,1,7,1
b004874,11,여,20,6,3,1,2,12,,3,3,2,3,42,42830,28,28710,26,26260,1,1,1,4,3,2,6,4,서울특별시,강원,3인 이상 여행(가족 외),2022-09-25~2022-09-26,7,6,3,2
b014207,26,여,20,4,1,1,1,4,,4,,2,1,47,47130,50,50110,45,45130,2,6,2,6,2,1,1,7,부산광역시,경북,나홀로 여행,2022-11-01~2022-11-01,1,5,4,0
b000182,41,여,40,6,1,2,3,,1,1,5,3,2,50,50110,42,42210,42,42820,3,3,4,3,3,4,5,4,경기도,강원,3인 이상 여행(가족 외),2022-08-06~2022-08-09,10,3,1,3
b002371,11,남,30,6,1,2,2,3,,4,7,3,1,41,41830,42,42830,42,42750,1,1,1,6,6,2,6,1,서울특별시,강원,2인 가족 여행,2022-08-20~2022-08-21,2,1,3,1
b007494,48,여,30,6,1,2,4,2,,4,6,3,3,50,50130,47,47130,48,48310,2,4,2,2,6,2,2,2,경상남도,경남,자녀 동반 여행,2022-10-15~2022-10-15,8,3,1,3
b001020,41,남,30,6,1,2,2,3,,7,12,3,5,50,50130,46,46130,43,43800,3,1,2,3,3,4,2,5,경기도,경북,3인 이상 여행(가족 외),2022-08-26~2022-08-28,3,2,10,4
b000064,30,여,30,6,1,1,4,,3,4,7,4,3,11,11140,26,26350,42,42150,6,3,1,1,5,3,6,6,대전광역시,부산,3인 이상 여행(가족 외),2022-08-27~2022-08-28,2,1,,3
b006122,48,여,20,6,1,1,1,3,,4,,2,1,11,11560,27,27260,45,45110,4,6,2,4,2,2,1,7,경상남도,경북,3인 이상 여행(가족 외),2022-10-16~2022-10-16,3,2,1,3
b006005,11,남,40,8,1,2,3,2,,10,12,2,2,42,42150,42,42210,42,42110,4,7,1,4,4,7,1,4,서울특별시,강원,자녀 동반 여행,2022-10-15~2022-10-15,2,8,1,2
b003958,11,여,20,6,5,1,4,3,,3,3,3,4,50,50110,47,47110,48,48840,1,1,1,7,2,5,7,7,서울특별시,경북,2인 여행(가족 외),2022-09-22~2022-09-24,3,1,2,1
b004281,11,남,40,7,1,2,3,3,,8,9,2,1,41,41360,48,48240,42,42150,2,3,2,5,3,4,4,6,서울특별시,강원,3인 이상 여행(가족 외),2022-09-24~2022-09-25,6,1,2,1
b005227,27,여,30,6,1,1,4,2,,5,12,3,8,26,26350,47,47130,42,42830,6,1,2,1,2,6,7,7,대구광역시,경북,3인 이상 여행(가족 외),2022-10-09~2022-10-10,2,3,5,3
b000128,36,여,30,7,1,1,1,3,,7,,2,2,11,11110,41,41820,46,46150,3,3,1,4,4,3,3,6,세종특별자치시,강원,2인 여행(가족 외),2022-08-06~2022-08-08,2,1,3,1
b004708,11,여,30,5,1,1,1,13,,4,,2,1,26,26500,42,42830,50,50130,4,4,4,2,2,1,1,4,서울특별시,부산,부모 동반 여행,2022-09-24~2022-09-25,3,9,1,2
b018580,31,여,30,6,1,1,4,4,,4,10,2,1,26,26230,47,47130,47,47110,6,3,5,2,4,6,6,2,울산광역시,부산,나홀로 여행,2022-11-10~2022-11-10,1,4,2,0
b007697,47,여,60,6,5,4,3,11,,1,1,2,1,50,50130,50,50110,26,26710,2,2,2,2,4,2,2,4,경상북도,울산,2인 가족 여행,2022-10-13~2022-10-13,1,3,2,1
c005654,11,여,30,6,1,1,1,3,,4,,2,1,42,42110,42,42150,26,26350,1,1,1,1,1,1,7,4,서울특별시,울산,나홀로 여행,2022-10-15~2022-10-16,4,10,2,0
b011123,26,여,20,6,1,1,5,2,,4,9,2,1,26,26500,48,48840,27,27260,5,6,3,3,6,3,2,5,부산광역시,울산,2인 여행(가족 외),2022-10-24~2022-10-24,2,7,3,1
b005238,41,여,30,8,5,1,1,12,,3,,3,4,42,42150,50,50110,47,47210,2,2,5,3,4,2,6,2,경기도,경북,나홀로 여행,2022-10-09~2022-10-10,2,,,0
b000378,11,여,20,6,2,1,5,2,,2,5,3,2,42,42150,26,26200,50,50110,6,2,6,1,4,5,2,7,서울특별시,부산,부모 동반 여행,2022-08-11~2022-08-14,2,1,3,3
b007679,27,여,20,6,1,1,4,2,,3,8,2,1,47,47110,26,26500,47,47290,4,4,5,3,4,7,6,6,대구광역시,경북,2인 여행(가족 외),2022-10-29~2022-10-29,1,3,5,1
b013691,11,여,50,7,1,2,4,11,,1,7,3,4,41,41110,42,42150,42,42210,4,6,3,2,4,5,6,4,서울특별시,강원,2인 가족 여행,2022-11-04~2022-11-04,2,3,1,1
b005060,41,남,20,6,1,1,4,3,,3,5,2,1,50,50130,26,26500,42,42150,5,2,3,4,4,3,5,6,경기도,강원,2인 가족 여행,2022-10-22~2022-10-22,1,7,10,1
b008374,48,여,20,6,1,1,2,3,,4,8,2,2,50,50110,50,50130,47,47130,4,2,2,2,4,4,6,6,경상남도,경남,2인 여행(가족 외),2022-10-29~2022-10-29,1,3,2,1
b000211,45,남,40,6,1,2,5,2,,5,5,2,3,45,45130,45,45800,44,44770,2,5,4,5,4,4,5,5,전라북도,경북,자녀 동반 여행,2022-08-11~2022-08-14,3,1,7,4
b015474,27,여,20,6,2,1,1,12,,1,,2,2,26,26350,27,27260,47,47110,2,6,5,1,5,7,1,7,대구광역시,경북,나홀로 여행,2022-11-02~2022-11-02,4,1,2,0
b008594,27,여,40,4,1,2,4,11,,1,6,2,2,44,44180,28,28710,47,47210,4,4,5,4,5,5,3,7,대구광역시,경북,2인 여행(가족 외),2022-10-15~2022-10-15,10,,,1
b000550,48,여,30,6,1,1,3,4,,4,9,2,2,48,48850,11,11200,26,26200,2,3,6,1,3,2,1,5,경상남도,울산,2인 여행(가족 외),2022-08-19~2022-08-21,3,2,1,1
b000478,28,남,20,6,1,1,1,2,,4,,3,4,11,11170,50,50130,41,41190,5,1,3,5,6,5,2,6,인천광역시,강원,나홀로 여행,2022-08-05~2022-08-07,1,7,4,1
b004950,11,남,30,4,1,1,4,9,,5,11,3,8,42,42820,47,47130,48,48850,2,2,4,2,4,5,6,4,서울특별시,경북,2인 여행(가족 외),2022-09-26~2022-09-27,2,3,1,1
b004759,44,여,40,6,1,2,3,11,,1,9,2,1,11,11110,28,28260,42,42820,4,4,2,2,4,5,3,6,충청남도,강원,자녀 동반 여행,2022-10-03~2022-10-04,8,3,2,2
b008277,27,여,30,7,2,2,2,2,,4,6,2,2,50,50130,50,50110,11,11110,4,4,2,2,2,2,3,2,대구광역시,경북,2인 가족 여행,2022-10-15~2022-10-15,8,2,3,1
b012598,50,여,20,4,1,1,2,5,,4,4,3,3,50,50110,30,30140,41,41110,4,2,3,3,3,4,3,6,제주특별자치도,부산,2인 가족 여행,2022-10-29~2022-10-30,2,1,5,1
b014904,47,여,20,6,1,1,1,2,,2,,2,1,26,26500,48,48120,50,50110,4,1,3,3,1,5,3,4,경상북도,대구,2인 여행(가족 외),2022-10-29~2022-10-30,3,1,2,1
b010876,27,여,30,6,1,1,1,3,,4,,2,2,47,47190,47,47110,47,47150,2,4,1,4,1,6,2,6,대구광역시,경남,2인 여행(가족 외),2022-10-24~2022-10-24,3,2,7,1
b014417,27,여,20,5,1,1,4,2,,3,7,3,4,26,26500,11,11680,27,27290,4,5,2,4,5,4,2,2,대구광역시,울산,2인 여행(가족 외),2022-10-31~2022-10-31,1,2,7,1
b004283,11,여,30,6,1,1,4,3,,4,7,3,3,42,42150,50,50110,11,11110,2,3,3,4,6,3,7,5,서울특별시,경북,3인 이상 여행(가족 외),2022-10-21~2022-10-22,3,1,2,3
c009415,48,남,30,6,2,1,1,3,,6,,1,1,50,50110,26,26230,48,48310,2,4,1,2,6,2,2,6,경상남도,전남,나홀로 여행,2022-10-29~2022-10-30,7,6,1,0
b007708,11,여,60,6,1,2,5,11,,3,7,3,7,42,42230,42,42210,42,42830,2,2,3,2,1,2,3,2,서울특별시,강원,나홀로 여행,2022-10-29~2022-10-29,2,1,8,0
b015444,11,여,30,7,5,1,1,3,,5,,2,4,42,42830,41,41820,26,26350,2,1,1,2,6,7,2,7,서울특별시,강원,2인 여행(가족 외),2022-10-29~2022-10-30,1,2,7,1
b010944,48,여,40,6,1,2,4,13,,3,4,3,4,48,48840,48,48310,41,41550,1,7,4,1,4,4,4,5,경상남도,경남,나홀로 여행,2022-10-22~2022-10-22,2,6,1,0
b002675,47,여,20,6,3,1,3,3,,2,10,3,4,50,50110,26,26350,41,41830,5,1,1,2,4,5,6,7,경상북도,경북,3인 이상 여행(가족 외),2022-08-24~2022-08-25,3,2,1,3
b004619,44,여,40,5,1,1,3,13,,4,5,2,2,44,44150,42,42210,50,50110,1,4,2,5,6,4,4,5,충청남도,경북,3인 이상 여행(가족 외),2022-09-25~2022-09-26,3,2,1,3
b001005,41,남,30,6,1,1,4,2,,8,8,3,4,42,42110,26,26350,47,47130,5,2,2,4,4,5,4,2,경기도,경북,3인 이상 여행(가족 외),2022-08-17~2022-08-20,1,2,3,2
b004725,48,남,30,7,2,2,2,2,,6,12,2,2,26,26350,50,50110,27,27110,6,2,2,4,4,2,2,2,경상남도,부산,2인 여행(가족 외),2022-09-23~2022-09-24,3,7,5,1
b002992,11,남,30,6,1,1,1,3,,4,,3,1,26,26350,28,28110,50,50110,3,4,2,6,7,5,6,5,서울특별시,경북,나홀로 여행,2022-08-21~2022-08-22,1,7,5,0
b003864,30,여,20,7,1,1,1,2,,7,,2,1,42,42150,26,26350,44,44150,6,3,1,3,5,1,3,5,대전광역시,경북,2인 여행(가족 외),2022-10-02~2022-10-03,2,3,1,1
b015436,42,여,20,6,1,1,4,3,,4,5,3,2,48,48220,29,29170,11,11170,2,2,2,2,4,3,2,1,강원도,강원,나홀로 여행,2022-10-29~2022-10-30,1,4,6,0
b005366,11,여,20,6,1,1,1,12,,2,,3,2,50,50110,42,42210,29,29155,7,1,1,1,4,1,2,5,서울특별시,강원,나홀로 여행,2022-09-30~2022-10-01,7,1,2,0
b003655,31,남,40,5,1,2,5,8,,10,10,2,1,50,50130,47,47130,48,48310,2,2,4,6,6,4,1,1,울산광역시,경북,자녀 동반 여행,2022-08-28~2022-08-28,1,,,3
b000871,11,여,20,6,1,1,1,3,,5,,3,4,50,50130,26,26350,42,42210,4,3,2,3,4,4,2,3,서울특별시,강원,3인 이상 여행(가족 외),2022-08-19~2022-08-21,3,2,1,2
b015987,48,여,50,5,1,2,3,11,,3,5,2,2,50,50130,42,42210,11,11110,5,4,6,5,5,5,4,4,경상남도,경남,자녀 동반 여행,2022-11-03~2022-11-03,8,2,1,2
