COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
2,d_d010232,2,2,1,1
4,d_d006991,7,2,4,1
2,d_d001399,2,2,1,1
3,d_d011698,7,2,4,1
1,d_d006734,7,2,3,1
5,d_d001560,2,2,1,1
2,d_d004165,2,2,3,1
3,d_d004019,2,1,2,1
1,d_d001648,7,2,5,1
2,d_d001701,3,2,5,1
1,d_d001893,1,2,5,1
2,d_d001586,10,2,4,1
1,c_c006857,8,2,3,1
1,d_d003567,7,1,4,2
3,d_d000595,5,1,4,3
2,d_d007013,7,1,3,2
3,d_d007551,2,1,1,1
2,b_b005117,7,2,4,1
2,d_d002103,2,2,4,1
3,d_d003141,2,2,1,1
1,d_d004500,1,2,4,1
1,d_d001473,1,2,4,1
2,d_d004426,2,1,1,1
1,d_d012389,1,1,6,1
1,d_d002807,1,1,5,1
3,d_d002504,2,1,2,1
1,d_d002782,8,1,3,1
3,d_d008112,5,1,3,1
1,d_d010846,1,1,5,1
1,c_c002117,1,1,6,1
1,b_b002847,1,2,4,1
5,d_d006991,7,2,4,1
1,d_d002853,1,2,4,1
1,d_d000328,8,1,5,1
4,c_c001346,7,2,5,1
2,b_b001039,1,1,6,1
1,d_d005498,1,1,5,1
1,d_d002987,1,2,5,1
1,d_d001982,1,1,7,1
5,c_c000784,5,2,4,3
1,d_d003398,1,2,5,1
1,d_d000992,2,1,3,1
2,c_c001754,2,2,1,1
1,d_d006713,1,1,6,1
2,c_c002289,2,1,1,1
1,d_d006234,8,1,4,2
1,d_d002529,8,1,5,1
5,c_c003081,3,2,7,1
1,d_d003474,8,2,3,1
2,d_d004256,6,2,7,1
1,d_d003876,1,2,4,1
1,d_d012334,1,2,5,1
1,d_d000534,8,1,3,1
3,d_d009152,8,2,3,1
8,c_c001813,11,1,1,3
1,d_d009054,9,1,4,1
2,d_d001842,1,2,7,2
1,b_b010136,8,2,3,1
2,d_d001733,2,1,1,1
1,d_d003924,1,1,4,1
3,a_a006701,2,1,1,1
2,d_d004972,2,1,1,1
1,d_d001143,1,2,4,1
2,d_d001557,1,2,7,1
4,d_d002774,6,2,1,1
1,d_d007848,3,2,7,1
1,b_b003984,9,1,4,1
2,d_d002467,2,1,1,1
1,c_c000024,5,2,4,3
1,d_d005738,1,2,5,1
3,d_d001016,6,2,1,1
1,d_d012260,1,2,5,1
3,d_d002218,2,2,2,1
4,d_d001874,2,2,2,1
1,d_d000838,7,2,4,1
1,d_d004373,7,2,5,1
6,d_d000084,10,2,5,1
1,d_d003580,1,1,5,1
1,d_d003856,1,1,5,1
