TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
b_b009552,B04,b009552,2;4;,2022-10-29,2022-10-31,대중교통 등,,2;4;,22;4;1
b_b007670,B01,b007670,9;22;,2022-10-12,2022-10-13,,,9;22;,3;9;6
b_b006818,B06,b006818,3;11;22;8;23;,2022-11-05,2022-11-06,자가용,,3;11;22;8;23;,24;27;21
b_b004812,B01,b004812,13;22;23;6;,2022-09-29,2022-10-01,대중교통 등,,13;22;23;6;,3;22;23
b_b006448,B03,b006448,21;22;,2022-10-08,2022-10-09,,,21;22;,21;22;3
b_b006669,B03,b006669,21;3;24;28;1;2;4;6;3;,2022-10-08,2022-10-09,대중교통 등,,21;3;24;28;1;2;4;6;3;,6;2;3
b_b000465,B04,b000465,2;22;28;4;5;,2022-08-14,2022-08-18,대중교통 등,경상권 외에 거주하는 39세 이하 커플,2;,22;2;10
b_b001030,B04,b001030,1;2;23;4;7;,2022-08-26,2022-08-30,대중교통 등,경상권 외에 거주하는 39세 이하 커플,1;2;23;4;7;,23;22;1
b_b013761,B06,b013761,21;22;24;,2022-10-28,2022-10-29,,,21;22;24;,21;22;24
b_b005820,B02,b005820,1;4;7;,2022-10-08,2022-10-10,대중교통 등,,1;4;7;,2;1;7
b_b005344,B06,b005344,1;2;22;,2022-10-01,2022-10-03,자가용,,1;2;22;,1;2;22
b_b007318,B06,b007318,12;22;27;3;9;,2022-10-15,2022-10-16,자가용,,12;22;27;3;9;,9;22;12
b_b002303,B04,b002303,12;21;22;24;6;,2022-08-19,2022-08-22,대중교통 등,,12;21;22;24;6;,6;22;12
b_b004075,B04,b004075,21;22;23;26;4;,2022-09-17,2022-09-20,대중교통 등,,21;22;23;26;4;,1;23;26
b_b006109,B03,b006109,12;21;22;24;6;,2022-10-01,2022-10-02,자가용,,12;21;22;24;6;,22;21;3
b_b006485,B02,b006485,5;22;26;2;4;1;9;11;,2022-10-31,2022-11-01,대중교통 등,,5;22;26;2;4;1;9;11;,22;3;1
b_b011451,B01,b011451,28;21;,2022-10-23,2022-10-24,자가용,수도권/강원에 거주하는 39세 이하 3인 이상 친구,28;21;,28;21;9
b_b001454,B03,b001454,2;22;23;3;,2022-08-25,2022-08-28,자가용,,2;22;23;3;,23;26;2
b_b000314,B01,b000314,2;22;25;26;7;,2022-08-04,2022-08-08,자가용,수도권/강원에 거주하는 39세 이하 3인 이상 친구,2;,2;1;26
b_b006719,B03,b006719,21;22;24;27;5;,2022-10-09,2022-10-10,,,21;22;24;27;5;,22;26;24
b_b000992,B01,b000992,2;24;3;6;9;,2022-08-20,2022-08-22,자가용,,2;24;3;6;9;,2;3;21
b_b004642,B04,b004642,1;2;22;5;,2022-09-29,2022-10-01,대중교통 등,,1;2;22;5;,5;22;24
b_b016471,B02,b016471,1;4;21;22;26;27;,2022-11-06,2022-11-07,,,1;4;21;22;26;27;,1;4;27
b_b003513,B01,b003513,1;10;2;5;7;,2022-09-07,2022-09-09,자가용,,1;10;2;5;7;,2;6;21
b_b001851,B06,b001851,23;9;,2022-09-07,2022-09-09,대중교통 등,,23;9;,23;3;24
b_b007306,B03,b007306,2;3;6;9;,2022-10-09,2022-10-10,대중교통 등,,2;3;6;9;,1;11;22
b_b004159,B03,b004159,11;2;3;,2022-10-01,2022-10-04,자가용,,11;2;3;,2;3;21
b_b011660,B03,b011660,2;21;24;,2022-11-05,2022-11-06,,경상권에 거주하는 39세 이하 커플,2;21;24;,24;21;2
b_b011113,B03,b011113,22;26;3;,2022-11-03,2022-11-04,,,22;26;3;,3;22;6
b_b009619,B01,b009619,22;28;,2022-10-22,2022-10-24,자가용,,22;28;,22;28;1
b_b006277,B06,b006277,12;2;22;,2022-10-01,2022-10-02,자가용,,12;2;22;,2;12;22
b_b003843,B01,b003843,10;3;,2022-10-01,2022-10-04,자가용,,10;3;,10;3;22
b_b010876,B03,b010876,3;21;22;4;27;26;,2022-10-30,2022-10-31,자가용,경상권에 거주하는 39세 이하 커플,3;21;22;4;27;26;,3;6;9
b_b011511,B04,b011511,21;26;,2022-10-28,2022-10-30,대중교통 등,,21;26;,21;26;10
b_b006665,B04,b006665,25;8;,2022-10-02,2022-10-03,자가용,,25;8;,8;25;24
b_b004970,B01,b004970,11;22;23;27;3;,2022-10-15,2022-10-17,자가용,,11;22;23;27;3;,5;22;23
b_b018509,B03,b018509,22;,2022-11-10,2022-11-11,,,22;,22;21;1
b_b004026,B03,b004026,1;2;22;3;7;,2022-09-24,2022-09-26,대중교통 등,,1;2;22;3;7;,2;3;1
b_b014359,B01,b014359,22;,2022-10-28,2022-10-29,자가용,,22;,22;26;24
b_b007889,B03,b007889,1;9;21;,2022-10-29,2022-10-30,자가용,,1;9;21;,1;22;21
b_b003221,B01,b003221,22;26;5;7;,2022-08-27,2022-08-29,대중교통 등,수도권/강원에 거주하는 39세 이하 3인 이상 친구,22;26;5;7;,5;7;22
b_b003766,B05,b003766,21;22;3;,2022-09-17,2022-09-18,자가용,,21;22;3;,3;21;22
b_b008254,B06,b008254,24;4;22;,2022-10-15,2022-10-16,자가용,,24;4;22;,1;4;22
b_b007960,B01,b007960,10;21;22;23;,2022-10-22,2022-10-24,대중교통 등,,10;21;22;23;,10;21;22
b_b003798,B03,b003798,2;23;26;3;6;,2022-09-16,2022-09-19,대중교통 등,,2;23;26;3;6;,23;3;21
b_b005470,B03,b005470,1;2;26;3;4;,2022-09-29,2022-10-01,자가용,,1;2;26;3;4;,3;2;1
b_b013678,B06,b013678,12;5;,2022-10-28,2022-10-29,,경상권에 거주하는 40세 이상 3인 이상 친구,12;5;,11;12;5
b_b009875,B03,b009875,1;11;2;24;3;,2022-10-29,2022-10-31,자가용,,1;11;2;24;3;,11;3;6
b_b005355,B03,b005355,22;3;,2022-09-29,2022-10-01,대중교통 등,경상권에 거주하는 39세 이하 커플,22;3;,22;3;1
b_b015746,B03,b015746,1;22;3;4;,2022-10-29,2022-11-01,대중교통 등,,1;22;3;4;,3;22;24
