TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
a_a006254,A03,a006254,6;22;1;,2022-10-08,2022-10-10,자가용,,6;22;1;,1;6;22
a_a002830,A02,a002830,11;,2022-09-24,2022-09-26,자가용,,11;,9;11;3
a_a002239,A01,a002239,1;12;22;23;4;,2022-09-25,2022-09-27,자가용,,1;12;22;23;4;,23;4;2
a_a003135,A03,a003135,22;27;28;,2022-09-30,2022-10-02,자가용,,22;27;28;,2;22;28
a_a009427,A03,a009427,22;4;,2022-10-23,2022-10-24,대중교통 등,수도권 거주 39세 이하 커플,22;4;,22;2;4
a_a017942,A03,a017942,22;5;,2022-11-10,2022-11-11,,수도권 거주 40세 이상 3인 이상 친구,22;5;,5;22;24
a_a003449,A01,a003449,1;2;22;3;6;,2022-10-01,2022-10-04,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;3;6;,4;2;6
a_a001283,A03,a001283,1;21;22;23;4;,2022-08-28,2022-08-30,대중교통 등,,1;21;22;23;4;,21;23;22
a_a003822,A03,a003822,3;,2022-10-01,2022-10-02,대중교통 등,,3;,22;21;11
a_a007415,A03,a007415,5;,2022-10-15,2022-10-16,,,5;,5;10;22
a_a002037,A01,a002037,1;2;22;4;7;,2022-09-17,2022-09-19,대중교통 등,수도권 외 거주 39세 이하 커플,1;2;22;4;7;,1;22;4
a_a005258,A03,a005258,21;,2022-10-01,2022-10-03,자가용,수도권 거주 39세 이하 부부,21;,21;23;28
a_a003965,A03,a003965,6;,2022-10-01,2022-10-02,대중교통 등,,6;,6;1;24
a_a009595,A01,a009595,4;1;7;,2022-10-20,2022-10-21,대중교통 등,,4;1;7;,4;1;6
a_a002270,A03,a002270,1;10;22;26;5;,2022-10-01,2022-10-02,자가용,수도권 거주 39세 이하 커플,1;10;22;26;5;,9;10;3
a_a003994,A01,a003994,1;23;3;4;8;,2022-10-09,2022-10-11,자가용,,1;23;3;4;8;,23;10;4
a_a007936,A03,a007936,3;,2022-10-30,2022-10-31,,,3;,1;3;28
a_a004171,A03,a004171,1;21;23;24;6;,2022-10-02,2022-10-04,자가용,,1;21;23;24;6;,5;21;1
a_a018220,A03,a018220,1;22;26;,2022-11-12,2022-11-13,,,1;22;26;,1;22;26
a_a003692,A03,a003692,1;3;4;6;9;,2022-10-22,2022-10-25,자가용,,1;3;4;6;9;,1;9;4
a_a012482,A01,a012482,1;24;4;6;9;,2022-10-29,2022-10-31,대중교통 등,,1;24;4;6;9;,1;6;9
a_a002604,A03,a002604,22;8;,2022-09-23,2022-09-26,자가용,수도권 거주 39세 이하 자녀 동반,22;8;,8;22;5
b_b013622,A03,b013622,21;,2022-10-27,2022-10-28,,,21;,4;6;21
a_a001702,A03,a001702,11;,2022-09-09,2022-09-11,자가용,,11;,21;2;11
a_a017555,A03,a017555,21;22;27;3;,2022-11-11,2022-11-12,,,21;22;27;3;,3;21;22
a_a007414,A01,a007414,1;4;22;,2022-10-22,2022-10-23,,,1;4;22;,1;24;26
a_a000104,A01,a000104,1;4;6;7;9;,2022-08-05,2022-08-08,대중교통 등,수도권 외 거주 39세 이하 커플,1;,1;6;2
a_a001296,A01,a001296,1;11;6;,2022-08-25,2022-08-27,자가용,,1;11;6;,11;1;6
a_a011113,A01,a011113,2;3;,2022-10-31,2022-11-01,대중교통 등,,2;3;,6;2;4
a_a003345,A03,a003345,10;11;2;6;9;,2022-10-10,2022-10-12,대중교통 등,,10;11;2;6;9;,11;2;6
a_a014032,A03,a014032,1;2;3;4;5;,2022-10-28,2022-10-29,대중교통 등,,1;2;3;4;5;,1;4;24
