TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,new_variable_renewed
d_d001764,선녀와나무꾼 테마공원,제주,조천읍,6,5.0,5.0,5.0,120.0,0,d001764,2,여,30,1,3,5,3,3,3,3,3,6,9.0,4,4,1.25,1.1764705882352942,1.1764705882352942,0.3336649461842208,0.2833270385386309
d_d003158,바이나흐튼 크리스마스박물관,서귀포,안덕면,2,5.0,5.0,5.0,30.0,0,d003158,28,여,20,0,3,6,2,1,2,2,6,2,6.0,2,1,1.0,1.0,1.0,0.0,0.0
d_d001269,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,240.0,1,d001269,22,남,30,1,5,1,1,2,1,4,3,3,5.0,1,0,1.1111111111111112,1.25,1.4285714285714286,0.47022775549235635,0.27048849827046156
d_d002575,카멜리아힐,서귀포,안덕면,1,4.0,3.0,4.0,60.0,0,d002575,4,여,20,0,4,2,3,4,4,4,2,4,1.0,2,1,0.8888888888888888,0.7058823529411765,0.8888888888888888,-0.31394097936691695,-0.3076624505641652
d_d006916,소인국테마파크,서귀포,안덕면,6,4.0,3.0,3.0,90.0,0,d006916,23,여,30,0,2,4,3,4,6,6,2,7,7.0,1,2,1.0,1.0,1.0,0.0,0.0
d_d002273,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,60.0,0,d002273,5,여,60,0,1,1,1,4,6,5,6,6,2.0,1,3,1.0,1.153846153846154,1.0,0.10447720682846771,0.12963224389599254
d_d006946,방주교회,서귀포,안덕면,2,4.0,4.0,4.0,30.0,0,d006946,6,여,40,1,1,1,4,3,6,4,1,6,3.0,6,3,0.8571428571428571,0.8571428571428571,0.8571428571428571,-0.24384973277611088,-0.19730492896845936
d_d004168,함덕해수욕장,제주,조천읍,1,5.0,5.0,5.0,30.0,1,d004168,24,여,20,0,1,1,1,4,3,4,7,1,2.0,1,2,1.0,1.0,1.0,0.0,0.0
d_d001909,용두암,제주,용담2동,1,4.0,4.0,4.0,30.0,1,d001909,28,여,20,0,1,1,1,4,4,4,1,7,1.0,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,-0.24384973277611088,-0.19730492896845936
d_d002716,협재해수욕장,제주,한림읍,1,5.0,5.0,5.0,60.0,1,d002716,2,여,30,0,2,1,4,2,4,1,4,2,1.0,5,2,1.0,1.0,1.0,0.0,0.0
d_d012296,서귀포농업기술센터,서귀포,남원읍,3,4.0,4.0,4.0,90.0,0,d012296,9,남,30,1,2,4,2,4,3,4,5,3,3.0,2,1,1.0,1.0,1.0,0.0,0.0
d_d001275,용두암,제주,용담2동,1,5.0,4.0,5.0,90.0,0,d001275,6,여,20,1,5,3,1,4,6,6,2,6,2.0,1,0,1.0714285714285714,0.9230769230769231,1.0,-0.020726620738038052,-0.026350056415477323
d_d000669,용두암,제주,용담2동,2,4.0,3.0,3.0,30.0,0,d000669,22,여,20,0,1,1,1,3,1,6,4,7,3.0,1,3,1.0,1.0,1.0,0.0,0.0
d_d004921,한라산아래첫마을,서귀포,안덕면,7,3.0,3.0,3.0,30.0,0,d004921,8,여,30,1,2,3,2,4,6,5,7,7,1.0,2,0,0.75,0.75,0.75,-0.4267370323581939,-0.34528362569480375
d_d005129,서귀포매일올레시장,서귀포,서귀동,4,4.0,4.0,4.0,30.0,1,d005129,2,여,30,0,2,2,6,2,4,6,6,5,3.0,1,3,0.8888888888888888,0.8888888888888888,0.8888888888888888,-0.18966090327030843,-0.15345938919769067
d_d008228,감귤박물관,서귀포,신효동,2,3.0,2.0,2.0,30.0,0,d008228,2,여,20,0,4,4,2,3,5,3,5,7,3.0,5,3,0.8999999999999999,0.8571428571428571,0.6666666666666666,-0.3366908341382022,-0.1742252896489481
d_d004738,메이즈랜드,제주,구좌읍,6,4.0,4.0,4.0,60.0,0,d004738,12,여,30,0,6,3,5,4,5,6,6,2,1.0,2,3,1.1111111111111112,1.1764705882352942,1.1764705882352942,0.27239164653606246,0.2085319111142887
