TRAVEL_ID,VISIT_AREA_NM,SI,Dong_Eup,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,DGSTFN_div_mean,REVISIT_INTENTION_div_mean,RCMDTN_INTENTION_div_mean,new_variable,RESIDENCE_TIME_MIN_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean
d_d007632,제주동문시장,제주,일도일동,4,4.0,3.0,4.0,30.0,0,d007632,1,여,20,0,3,2,3,4,3,5,3,6,2.0,4,1,0.8571428571428571,0.75,0.8571428571428571,-0.31661064467450806,51.85929648241206,0.5527638190954773,1.4221105527638191
d_d007634,서귀포매일올레시장,서귀포,서귀동,4,5.0,5.0,5.0,60.0,1,d007634,8,남,20,0,4,1,1,2,4,2,1,7,4.0,3,0,1.153846153846154,1.153846153846154,1.25,0.3190188014109077,53.96396396396396,0.5255255255255256,1.6396396396396395
d_d007634,성읍녹차마을 영농조합법인,서귀포,표선면,1,4.0,4.0,3.0,60.0,0,d007634,8,남,20,0,4,1,1,2,4,2,1,7,4.0,3,0,0.9230769230769231,0.9230769230769231,0.75,-0.2328442166530782,60.0,0.0,0.0
d_d007634,제주동문시장,제주,일도일동,4,4.0,4.0,4.0,30.0,1,d007634,8,남,20,0,4,1,1,2,4,2,1,7,4.0,3,0,0.9230769230769231,0.9230769230769231,1.0,-0.08617458475782921,51.85929648241206,0.5527638190954773,1.4221105527638191
d_d007660,아쿠아플라넷 제주,서귀포,성산읍,6,4.0,4.0,5.0,180.0,1,d007660,2,여,40,0,4,3,4,4,3,3,5,4,1.0,2,4,1.0,1.0,1.1111111111111112,0.06518650306455515,157.86885245901638,0.3114754098360656,2.0163934426229506
d_d007660,세계조가비박물관,서귀포,서홍동,2,4.0,4.0,4.0,60.0,0,d007660,2,여,40,0,4,3,4,4,3,3,5,4,1.0,2,4,1.0,1.0,0.8888888888888888,-0.06518650306455515,40.0,0.0,3.3333333333333335
d_d007674,방주교회,서귀포,안덕면,2,4.0,3.0,5.0,30.0,0,d007674,23,여,40,0,1,4,3,3,1,1,5,4,4.0,1,1,1.0,1.0,1.0,0.0,39.642857142857146,0.2857142857142857,1.75
d_d007722,씽씽왕발통,제주,구좌읍,5,3.0,1.0,1.0,30.0,0,d007722,2,남,20,0,2,1,2,2,2,2,5,7,3.0,5,1,0.75,0.3333333333333333,0.3333333333333333,-0.9541455206773759,30.0,0.0,1.0
d_d007722,스누피가든,제주,구좌읍,3,5.0,5.0,5.0,90.0,0,d007722,2,남,20,0,2,1,2,2,2,2,5,7,3.0,5,1,1.25,1.6666666666666667,1.6666666666666667,0.9541455206773759,129.14634146341464,0.0975609756097561,1.6341463414634145
d_d007728,보림사,제주,건입동,2,5.0,4.0,4.0,30.0,1,d007728,3,남,40,0,2,2,2,2,2,3,2,2,2.0,1,0,1.1111111111111112,0.9411764705882353,0.9411764705882353,-0.025439029220651808,30.0,1.0,0.0
d_d007728,산지등대,제주,건입동,3,4.0,4.0,4.0,30.0,1,d007728,3,남,40,0,2,2,2,2,2,3,2,2,2.0,1,0,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770537,45.0,0.5,1.25
d_d007728,김만덕기념관,제주,건입동,3,5.0,5.0,5.0,30.0,0,d007728,3,남,40,0,2,2,2,2,2,3,2,2,2.0,1,0,1.1111111111111112,1.1764705882352942,1.1764705882352942,0.27239164653606257,30.0,0.0,0.0
d_d007728,사라봉공원,제주,건입동,1,4.0,4.0,4.0,0.0,1,d007728,3,남,40,0,2,2,2,2,2,3,2,2,2.0,1,0,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770537,40.0,0.3333333333333333,0.5
d_d007735,제주본참숯불갈비,제주,노형동,4,5.0,5.0,5.0,60.0,0,d007735,24,남,20,0,2,2,6,6,1,1,4,6,7.0,4,1,1.1111111111111112,1.1764705882352942,1.1764705882352942,0.27239164653606257,60.0,0.0,1.0
d_d007735,표선해수욕장,서귀포,표선면,1,5.0,4.0,4.0,120.0,0,d007735,24,남,20,0,2,2,6,6,1,1,4,6,7.0,4,1,1.1111111111111112,0.9411764705882353,0.9411764705882353,-0.025439029220651808,61.111111111111114,0.18518518518518517,1.2962962962962963
d_d007735,제주시청,제주,이도2동,4,4.0,4.0,4.0,60.0,1,d007735,24,남,20,0,2,2,6,6,1,1,4,6,7.0,4,1,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770537,50.0,1.0,0.3333333333333333
d_d007735,자구리문화예술공원,서귀포,서귀동,1,4.0,4.0,4.0,60.0,0,d007735,24,남,20,0,2,2,6,6,1,1,4,6,7.0,4,1,0.8888888888888888,0.9411764705882353,0.9411764705882353,-0.12347630865770537,65.0,0.4166666666666667,0.4166666666666667
d_d007742,망루등대,제주,우도면,1,4.0,3.0,3.0,0.0,0,d007742,28,남,20,0,6,1,6,2,1,6,6,6,3.0,1,3,1.1111111111111112,0.9375,0.9375,-0.030092633529350446,15.0,0.0,2.0
d_d007742,약천사,서귀포,대포동,2,3.0,2.0,2.0,60.0,0,d007742,28,남,20,0,6,1,6,2,1,6,6,6,3.0,1,3,0.8333333333333333,0.625,0.625,-0.5481955990650536,47.857142857142854,0.16666666666666666,1.7142857142857142
d_d007742,우도산호해변,제주,우도면,1,4.0,3.0,3.0,30.0,0,d007742,28,남,20,0,6,1,6,2,1,6,6,6,3.0,1,3,1.1111111111111112,0.9375,0.9375,-0.030092633529350446,35.0,0.4166666666666667,3.0
d_d007742,검멀레해변,제주,우도면,1,4.0,4.0,4.0,30.0,0,d007742,28,남,20,0,6,1,6,2,1,6,6,6,3.0,1,3,1.1111111111111112,1.25,1.25,0.36546373271003574,31.0,0.16666666666666666,2.0
d_d007742,성산일출봉,서귀포,성산읍,1,3.0,4.0,4.0,90.0,0,d007742,28,남,20,0,6,1,6,2,1,6,6,6,3.0,1,3,0.8333333333333333,1.25,1.25,0.24291713341371873,65.390625,0.578125,1.5625
d_d007755,협재해수욕장,제주,한림읍,1,5.0,5.0,5.0,60.0,0,d007755,1,여,20,0,6,2,2,6,2,3,1,4,2.0,3,1,1.0,1.0,1.0,0.0,66.61764705882354,0.5343137254901961,1.4754901960784315
d_d007759,협재해수욕장,제주,한림읍,1,5.0,5.0,5.0,30.0,1,d007759,22,여,20,0,2,2,2,4,5,3,2,6,1.0,10,1,1.25,1.25,1.25,0.4267370323581941,66.61764705882354,0.5343137254901961,1.4754901960784315
d_d007759,제주현대미술관,제주,한경면,3,4.0,4.0,4.0,60.0,0,d007759,22,여,20,0,2,2,2,4,5,3,2,6,1.0,10,1,1.0,1.0,1.0,0.0,69.64285714285714,0.10714285714285714,0.7857142857142857
d_d007759,김녕해수욕장,제주,구좌읍,1,4.0,4.0,4.0,30.0,0,d007759,22,여,20,0,2,2,2,4,5,3,2,6,1.0,10,1,1.0,1.0,1.0,0.0,69.76744186046511,0.3372093023255814,1.430232558139535
d_d007759,함덕해수욕장,제주,조천읍,1,4.0,5.0,5.0,60.0,0,d007759,22,여,20,0,2,2,2,4,5,3,2,6,1.0,10,1,1.0,1.25,1.25,0.3164450929915089,57.84,0.564,1.608
d_d007759,바이나흐튼 크리스마스박물관,서귀포,안덕면,2,3.0,2.0,2.0,30.0,0,d007759,22,여,20,0,2,2,2,4,5,3,2,6,1.0,10,1,0.75,0.5,0.5,-0.7431821253497032,42.857142857142854,0.0,1.2857142857142858
d_d007761,서귀다원,서귀포,상효동,1,5.0,5.0,5.0,60.0,0,d007761,22,여,20,0,2,1,1,4,3,4,5,5,2.0,1,1,1.1764705882352942,1.3333333333333333,1.25,0.4508900470275302,75.0,0.0,1.25
d_d007761,제주보리빵마을,제주,연동,7,5.0,5.0,5.0,30.0,0,d007761,22,여,20,0,2,1,1,4,3,4,5,5,2.0,1,1,1.1764705882352942,1.3333333333333333,1.25,0.4508900470275302,30.0,0.0,1.0
d_d007761,현대렌트,제주,우도면,5,3.0,2.0,2.0,0.0,0,d007761,22,여,20,0,2,1,1,4,3,4,5,5,2.0,1,1,0.7058823529411765,0.5333333333333333,0.5,-0.7400086806211853,10.0,0.0,1.0
d_d007761,성산일출봉,서귀포,성산읍,1,4.0,3.0,4.0,30.0,1,d007761,22,여,20,0,2,1,1,4,3,4,5,5,2.0,1,1,0.9411764705882353,0.8,1.0,-0.16177141343387505,65.390625,0.578125,1.5625
d_d007770,스누피가든,제주,구좌읍,1,5.0,5.0,5.0,90.0,0,d007770,26,여,20,0,4,2,2,4,6,3,3,7,1.0,3,2,1.0526315789473684,1.1111111111111112,1.1111111111111112,0.16386161920792605,129.14634146341464,0.0975609756097561,1.6341463414634145
