TRAVEL_ID,LODGING_NM,LODGING_PAYMENT_SEQ,LODGING_TYPE_CD,RSVT_YN,CHK_IN_DT_MIN,CHK_OUT_DT_MIN,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC
b_b005802,스탠포드호텔앤리조트,10,1,,,,1,6128148053.0,스탠포드호텔앤리조트 주식회사,경남 통영시 도남로 347,경남 통영시 도남동 660,3333003.0,4822011700.0,2022-10-01 10:13:00.000,1.0,33000,
d_d003172,호텔컬리넌 제주,1,1,Y,2022-10-06 00:00:00.000,2022-10-07 00:00:00.000,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2022-10-04 01:11:00.000,1.0,48100,제주컬리넌호텔
d_d002114,도두해수파크,0,11,N,2022-09-30 00:00:00.000,2022-10-01 00:00:00.000,1,,,제주특별자치도 제주시 서해안로 236,제주특별자치도 제주시 도두일동 1729,,,,1.0,11000,
d_d012237,고투베드리조트,0,4,Y,2022-11-06 00:00:00.000,2022-11-07 00:00:00.000,2,,,제주특별자치도 서귀포시 성산읍 서성일로 660,제주특별자치도 서귀포시 성산읍 수산리 3261-2,,,,4.0,54060,
a_a001527,오션스카이펜션,0,3,Y,2022-08-27 00:00:00.000,2022-08-28 00:00:00.000,6,,,인천 중구 선녀바위로 35,인천 중구 을왕동 678-60,,,,1.0,250000,
d_d011469,숙소,0,11,N,2022-11-05 00:00:00.000,2022-11-07 00:00:00.000,1,,,,,,,,3.0,200000,
d_d000870,다인리조트 라이브가든,2,4,Y,2022-08-31 00:00:00.000,2022-09-02 00:00:00.000,3,6162171474.0,다인가든,제주특별자치도 제주시 애월읍 애월해안로 400-9,,3349131.0,5011025333.0,2022-08-31 17:46:00.000,1.0,110000,
d_d006874,화순금모래해수욕장,1,5,Y,2022-10-31 00:00:00.000,2022-11-01 00:00:00.000,1,2098155339.0,(주)마이리얼트립,서울 서초구 강남대로 311,서울 서초구 서초동 1338-12,2102001.0,1165010800.0,2022-10-28 16:34:00.000,3.0,150000,[안덕] 짐 없이 즐기는 해변 모닥불 캠핑&BBQ
d_d000458,하모스테이,0,7,Y,2022-08-30 00:00:00.000,2022-09-01 00:00:00.000,1,,,제주특별자치도 제주시 한림읍 금능5길 11,제주특별자치도 제주시 한림읍 금능리 1545,,,,5.0,80000,
d_d007518,서귀포JS호텔,0,1,Y,2022-10-30 00:00:00.000,2022-11-01 00:00:00.000,2,,,제주특별자치도 서귀포시 김정문화로 51,제주특별자치도 서귀포시 법환동 745-5,,,,1.0,112087,
d_d002424,여운쉐어하우스,0,7,Y,2022-10-12 00:00:00.000,2022-10-17 00:00:00.000,1,,,제주특별자치도 제주시 애월읍 유수암평화5길 38-17,제주특별자치도 제주시 애월읍 유수암리 1384-16,,,,3.0,100000,
