TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c005323,11,남,30,6,1.0,1.0,1,3.0,,4,,2,1,30,30170,27,27710,43,43110,5,3,2,6,3,3,6,3,서울특별시,대전,나홀로 여행,2022-10-22~2022-10-23,1.0,4.0,7.0,0
c006371,30,여,30,6,1.0,1.0,3,2.0,,3,5.0,3,1,44,44150,50,50110,26,26350,3,3,2,3,5,4,2,3,대전광역시,충남,나홀로 여행,2022-10-23~2022-10-23,2.0,1.0,,0
c006115,45,여,20,6,1.0,1.0,1,2.0,,4,,2,2,45,45110,26,26350,11,11230,3,3,3,2,2,5,5,6,전라북도,전북,나홀로 여행,2022-10-16~2022-10-16,4.0,2.0,8.0,0
c000528,28,여,30,4,1.0,2.0,3,,1.0,1,8.0,3,4,50,50110,50,50130,26,26530,3,1,2,4,5,4,1,7,인천광역시,충남,자녀 동반 여행,2022-08-29~2022-08-31,8.0,2.0,1.0,2
c003219,31,여,30,8,5.0,2.0,2,2.0,,6,11.0,2,2,48,48840,27,27710,31,31170,1,7,1,5,7,1,6,7,울산광역시,전북,2인 가족 여행,2022-10-22~2022-10-23,7.0,3.0,2.0,1
c006586,44,남,20,5,2.0,1.0,4,12.0,,1,6.0,2,1,50,50130,42,42210,26,26350,2,1,1,1,3,6,2,7,충청남도,전북,2인 여행(가족 외),2022-10-29~2022-10-30,4.0,3.0,7.0,1
c009017,41,여,30,5,1.0,1.0,5,2.0,,4,11.0,3,10,41,41460,42,42210,42,42760,2,7,2,3,2,1,7,1,경기도,대전,2인 가족 여행,2022-10-30~2022-10-30,3.0,2.0,1.0,1
c013784,11,여,50,6,1.0,2.0,1,2.0,,3,,1,1,30,30170,11,11680,41,41220,7,5,6,6,6,6,6,4,서울특별시,충남,나홀로 여행,2022-11-06~2022-11-06,6.0,2.0,10.0,0
c013343,41,여,20,6,1.0,1.0,3,3.0,,4,9.0,2,1,50,50110,42,42210,26,26350,2,1,1,5,6,1,5,6,경기도,충북,나홀로 여행,2022-11-05~2022-11-05,1.0,2.0,5.0,0
c001797,11,여,20,6,1.0,1.0,1,2.0,,5,,3,6,50,50130,26,26350,42,42830,2,2,1,2,4,3,6,7,서울특별시,전북,3인 이상 여행(가족 외),2022-09-03~2022-09-04,3.0,1.0,2.0,2
