TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
d004042,50,여,50,4,1.0,2.0,2,7.0,,4,7.0,2,1,50,50130,27,27230,11,11410,1,6,2,3,3,3,3,3,제주특별자치도,제주,2인 여행(가족 외),2022-10-22~2022-10-22,1.0,3.0,7.0,1
d001389,41,여,30,5,1.0,2.0,3,4.0,,1,5.0,3,9,42,42820,42,42210,50,50130,2,2,2,2,1,2,6,2,경기도,제주,자녀 동반 여행,2022-09-22~2022-09-24,1.0,3.0,2.0,2
d003583,50,남,30,6,1.0,1.0,2,13.0,,3,5.0,2,4,50,50130,50,50110,42,42210,3,5,3,3,5,3,2,6,제주특별자치도,제주,2인 여행(가족 외),2022-10-06~2022-10-07,1.0,2.0,5.0,1
d000431,46,남,30,5,1.0,2.0,4,7.0,,5,5.0,2,1,46,46130,50,50130,47,47130,7,1,1,1,7,7,4,1,전라남도,제주,3인 이상 여행(가족 외),2022-08-23~2022-08-25,2.0,3.0,1.0,5
d002162,43,남,30,6,1.0,2.0,2,2.0,,5,6.0,2,1,50,50110,26,26350,11,11680,2,1,4,4,2,4,2,3,충청북도,제주,나홀로 여행,2022-10-07~2022-10-09,1.0,7.0,4.0,0
d007567,41,남,20,5,2.0,1.0,4,12.0,,1,6.0,3,2,42,42150,42,42170,50,50130,1,1,1,7,2,2,4,6,경기도,제주,나홀로 여행,2022-10-25~2022-10-28,1.0,7.0,4.0,0
d002158,26,여,30,6,1.0,2.0,3,4.0,,4,6.0,2,1,48,48310,47,47130,31,31710,2,3,2,4,4,3,2,6,부산광역시,제주,자녀 동반 여행,2022-10-08~2022-10-12,1.0,,,2
d001280,43,남,30,7,2.0,1.0,1,2.0,,7,,3,6,42,42170,42,42820,27,27260,1,1,1,2,1,5,7,7,충청북도,제주,2인 여행(가족 외),2022-09-11~2022-09-13,3.0,1.0,5.0,1
d002494,26,여,30,6,1.0,2.0,3,3.0,,5,9.0,4,2,48,48310,50,50130,47,47130,3,3,4,3,4,5,3,6,부산광역시,제주,자녀 동반 여행,2022-10-27~2022-10-29,3.0,1.0,5.0,3
d002220,11,여,20,6,1.0,1.0,1,2.0,,3,,3,5,50,50110,47,47130,42,42150,2,1,2,3,4,5,2,7,서울특별시,제주,2인 여행(가족 외),2022-10-16~2022-10-18,2.0,1.0,3.0,1
d000480,11,여,20,6,1.0,1.0,3,4.0,,2,4.0,3,3,50,50130,42,42210,44,44825,4,2,4,4,2,3,5,5,서울특별시,제주,3대 동반 여행(친척 포함),2022-08-24~2022-08-27,9.0,2.0,1.0,6
d000560,11,여,20,4,1.0,2.0,2,4.0,,5,6.0,3,8,26,26710,42,42720,50,50110,2,1,4,1,2,2,1,6,서울특별시,제주,2인 가족 여행,2022-08-27~2022-08-31,3.0,2.0,10.0,1
d005584,50,남,50,6,1.0,1.0,5,13.0,,5,8.0,3,2,50,50130,45,45130,46,46170,1,1,3,7,2,2,2,4,제주특별자치도,제주,나홀로 여행,2022-10-13~2022-10-13,6.0,2.0,1.0,0
d004467,50,여,30,6,1.0,2.0,4,2.0,,2,7.0,3,5,43,43110,50,50130,50,50110,1,7,1,7,7,1,1,7,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-22~2022-10-23,1.0,3.0,2.0,3
d009590,41,여,30,7,1.0,1.0,2,3.0,,5,7.0,2,1,11,11680,42,42150,46,46130,4,1,1,3,6,5,4,4,경기도,제주,3대 동반 여행(친척 포함),2022-10-30~2022-11-01,8.0,3.0,2.0,3
d004375,11,여,20,5,1.0,1.0,3,2.0,,5,9.0,3,4,50,50110,41,41650,44,44800,1,1,2,4,5,6,2,5,서울특별시,제주,나홀로 여행,2022-10-13~2022-10-16,2.0,4.0,7.0,0
d010521,11,여,20,6,2.0,1.0,4,12.0,,2,11.0,3,5,50,50110,42,42150,48,48720,1,1,1,1,1,1,1,7,서울특별시,제주,2인 여행(가족 외),2022-11-03~2022-11-06,1.0,2.0,3.0,1
d004972,50,남,40,4,1.0,2.0,3,13.0,,2,2.0,3,5,41,41280,50,50130,42,42730,1,4,1,4,4,4,5,7,제주특별자치도,제주,자녀 동반 여행,2022-11-08~2022-11-09,3.0,2.0,9.0,2
d004201,11,여,30,6,1.0,1.0,4,3.0,,4,4.0,3,3,41,41820,42,42150,41,41480,4,4,4,4,4,4,4,2,서울특별시,제주,3인 이상 여행(가족 외),2022-10-15~2022-10-18,2.0,3.0,7.0,3
d007674,50,여,40,4,1.0,1.0,1,4.0,,3,,2,1,50,50110,50,50130,42,42150,1,4,3,3,1,1,5,4,제주특별자치도,제주,2인 여행(가족 외),2022-10-29~2022-10-30,4.0,2.0,3.0,1
d011027,11,여,30,6,1.0,2.0,3,11.0,,2,6.0,2,3,42,42170,42,42210,50,50110,1,4,3,3,1,3,2,7,서울특별시,제주,3대 동반 여행(친척 포함),2022-11-02~2022-11-07,1.0,5.0,,2
d003453,50,여,20,4,1.0,1.0,1,4.0,,3,,2,1,50,50110,50,50130,11,11440,2,2,2,6,1,2,6,5,제주특별자치도,제주,나홀로 여행,2022-10-18~2022-10-19,7.0,2.0,1.0,0
d000743,11,여,50,6,1.0,2.0,4,3.0,,5,7.0,3,4,42,42230,26,26290,50,50110,2,2,1,4,3,3,1,6,서울특별시,제주,자녀 동반 여행,2022-08-31~2022-09-03,2.0,3.0,7.0,2
d003547,50,남,40,7,1.0,2.0,4,1.0,,12,12.0,2,5,50,50130,50,50110,30,30230,1,7,1,1,7,4,4,5,제주특별자치도,제주,자녀 동반 여행,2022-10-10~2022-10-10,3.0,7.0,6.0,3
d002978,11,남,30,6,1.0,1.0,4,3.0,,4,12.0,3,2,50,50130,42,42150,26,26350,1,1,1,4,2,3,4,3,서울특별시,제주,나홀로 여행,2022-10-05~2022-10-07,1.0,2.0,7.0,0
d000210,11,남,30,6,1.0,1.0,4,3.0,,7,12.0,3,6,50,50130,50,50110,42,42820,2,2,5,2,2,5,5,2,서울특별시,제주,2인 여행(가족 외),2022-08-24~2022-08-27,1.0,2.0,3.0,1
